method,agent,dataset,metric,score,signed_error,mlp_signed_error,improvement_over_mlp_pct,win,n_eval_seeds
agentic-mlp,paper,black-friday,rmse,3477.9204596849036,3477.9204596849036,3472.8161929578873,-0.14697773920101434,False,15
agentic-mlp,paper,california,rmse,0.4371690863341735,0.4371690863341735,0.4535039941302183,3.601932509409039,True,15
agentic-mlp,paper,churn,accuracy,0.8600333333333335,-0.8600333333333335,-0.8611000000000001,-0.1238725660976134,False,15
agentic-mlp,paper,diamond,rmse,520.4657636716372,520.4657636716372,525.7104401100161,0.9976359680590137,True,15
agentic-mlp,paper,house,rmse,30566.930533936003,30566.930533936003,30996.873974200866,1.387054193344497,True,15
agentic-mlp,paper,microsoft,rmse,0.7460965645361772,0.7460965645361772,0.7465393669974093,0.05931401354131256,True,15
agentic-mlp,paper,tabarena/APSFailure,roc_auc,0.9872140134222309,-0.9872140134222309,-0.9921826999923364,-0.5007834313321423,False,15
agentic-mlp,paper,tabarena/Amazon_employee_access,roc_auc,0.8350650910815933,-0.8350650910815933,-0.8329680198625075,0.25175891139638423,True,15
agentic-mlp,paper,tabarena/Another-Dataset-on-used-Fiat-500,rmse,712.4839677993605,712.4839677993605,738.2305336726607,3.4876051177688834,True,15
agentic-mlp,paper,tabarena/Bioresponse,roc_auc,0.8575687998613449,-0.8575687998613449,-0.8530184078346984,0.5334459356155333,True,15
agentic-mlp,paper,tabarena/Diabetes130US,roc_auc,0.6651033086193792,-0.6651033086193792,-0.6663411569488525,-0.1857679533321089,False,15
agentic-mlp,paper,tabarena/E-CommereShippingData,roc_auc,0.7350974273590165,-0.7350974273590165,-0.7406073717810057,-0.7439764485112932,False,15
agentic-mlp,paper,tabarena/Food_Delivery_Time,rmse,7.396923327028174,7.396923327028174,7.6183763471775,2.9068269938038873,True,15
agentic-mlp,paper,tabarena/GiveMeSomeCredit,roc_auc,0.8700375384752357,-0.8700375384752357,-0.870164148292668,-0.014550107319487584,False,15
agentic-mlp,paper,tabarena/HR_Analytics_Job_Change_of_Data_Scientists,roc_auc,0.8088346797609239,-0.8088346797609239,-0.8091087171708914,-0.03386904678590607,False,15
agentic-mlp,paper,tabarena/NATICUSdroid,roc_auc,0.9833120197692117,-0.9833120197692117,-0.9850543742624261,-0.176879016908999,False,15
agentic-mlp,paper,tabarena/QSAR-TID-11,rmse,0.8322907730249973,0.8322907730249973,0.888506242316538,6.3269639102336654,True,15
agentic-mlp,paper,tabarena/QSAR_fish_toxicity,rmse,0.9717548705684498,0.9717548705684498,0.9893361149070327,1.77707495700134,True,15
agentic-mlp,paper,tabarena/airfoil_self_noise,rmse,1.0652090614351701,1.0652090614351701,1.2110694673510904,12.043933882253114,True,15
agentic-mlp,paper,tabarena/bank-marketing,roc_auc,0.7611087129073315,-0.7611087129073315,-0.772597928974865,-1.4870886442548672,False,15
agentic-mlp,paper,tabarena/concrete_compressive_strength,rmse,4.643525110087494,4.643525110087494,4.857363320205275,4.402351564443896,True,15
agentic-mlp,paper,tabarena/credit_card_clients_default,roc_auc,0.7852359896355284,-0.7852359896355284,-0.7848946099670193,0.04349369509920019,True,15
agentic-mlp,paper,tabarena/customer_satisfaction_in_airline,roc_auc,0.9948759014955962,-0.9948759014955962,-0.9940755362880551,0.08051352018275573,True,15
agentic-mlp,paper,tabarena/diabetes,roc_auc,0.8212918340026774,-0.8212918340026774,-0.8109638554216868,1.273543637234015,True,15
