method,agent,method_order,n_datasets,n_missing,n_wins,win_rate,mean_improvement_pct,median_improvement_pct,paper_mean_same_datasets,mean_improvement_pct_common,n_common_datasets
agentic-mlp,paper,0,45,0,27,0.6,1.2826587732730281,0.15030559554068612,1.2826587732730281,1.2826587732730281,45
mlp-ablation-claude-1,claude,1,45,0,29,0.6444444444444445,0.42565483138980603,0.1761843974045546,1.2826587732730281,0.42565483138980603,45
mlp-ablation-claude-2,claude,2,45,0,34,0.7555555555555555,0.32521368440290443,0.3897919251875808,1.2826587732730281,0.32521368440290443,45
mlp-ablation-claude-5,claude,3,45,0,31,0.6888888888888889,1.2781487576829849,0.15015859197938114,1.2826587732730281,1.2781487576829849,45
mlp-ablation-claude-6,claude,4,45,0,33,0.7333333333333333,1.3888171432834893,0.2977145171924093,1.2826587732730281,1.3888171432834893,45
mlp-ablation-claude-7,claude,5,45,0,27,0.6,0.486434426649303,0.11125264953900973,1.2826587732730281,0.486434426649303,45
mlp-ablation-codex-0,codex,6,45,0,33,0.7333333333333333,0.5883431984170012,0.3000972206156055,1.2826587732730281,0.5883431984170012,45
mlp-ablation-codex-1,codex,7,45,0,31,0.6888888888888889,0.6241338589700333,0.35058347451183447,1.2826587732730281,0.6241338589700333,45
mlp-ablation-codex-2,codex,8,45,0,30,0.6666666666666666,1.220072240699035,0.19574833386515517,1.2826587732730281,1.220072240699035,45
mlp-ablation-codex-3,codex,9,45,0,31,0.6888888888888889,1.1600993002641986,0.22945145295518884,1.2826587732730281,1.1600993002641986,45
mlp-ablation-codex-4,codex,10,45,0,31,0.6888888888888889,1.2693770380408473,0.1658846729512107,1.2826587732730281,1.2693770380408473,45
claude (pooled),claude,100,45,0,154,0.6844444444444444,0.7808537686816974,0.21638659406525745,1.2826587732730281,0.7808537686816974,45
codex (pooled),codex,101,45,0,156,0.6933333333333334,0.9724051272782231,0.22845850491210795,1.2826587732730281,0.9724051272782231,45
