requested_budget,dataset_scope,panel_order,metric_order,metric,metric_display,lower_is_better,method,method_display,method_order,value,n_datasets,candidate_datasets,complete_datasets
50,non_large,0,0,mean_rank,Mean rank,True,realmlp,RealMLP,0,5.138888888888889,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,mlp,MLP,1,7.805555555555555,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,agentic-mlp,MLP (agentic),2,7.416666666666667,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,lightgbm,LightGBM,3,6.527777777777778,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,agentic-lightgbm,LightGBM (agentic),4,6.111111111111111,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,tabm,TabM,5,5.138888888888889,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,agentic-tabm,TabM (agentic),6,4.833333333333333,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,tabicl,TabICL,7,3.611111111111111,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,agentic-tabicl,TabICL (agentic),8,3.0277777777777777,36,36,36
50,non_large,0,0,mean_rank,Mean rank,True,agentic-realmlp,RealMLP (agentic),9,5.388888888888889,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,realmlp,RealMLP,0,5.013888888888889,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,mlp,MLP,1,8.11111111111111,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,agentic-mlp,MLP (agentic),2,7.166666666666667,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,lightgbm,LightGBM,3,6.444444444444445,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,agentic-lightgbm,LightGBM (agentic),4,6.444444444444445,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,tabm,TabM,5,5.194444444444445,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,agentic-tabm,TabM (agentic),6,4.694444444444445,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,tabicl,TabICL,7,3.5277777777777777,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,agentic-tabicl,TabICL (agentic),8,3.0555555555555554,36,36,36
100,non_large,0,0,mean_rank,Mean rank,True,agentic-realmlp,RealMLP (agentic),9,5.347222222222222,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,realmlp,RealMLP,0,5.166666666666667,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,mlp,MLP,1,7.861111111111111,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,agentic-mlp,MLP (agentic),2,7.333333333333333,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,lightgbm,LightGBM,3,6.777777777777778,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,agentic-lightgbm,LightGBM (agentic),4,6.305555555555555,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,tabm,TabM,5,4.972222222222222,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,agentic-tabm,TabM (agentic),6,4.763888888888889,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,tabicl,TabICL,7,3.5277777777777777,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,agentic-tabicl,TabICL (agentic),8,3.1666666666666665,36,36,36
150,non_large,0,0,mean_rank,Mean rank,True,agentic-realmlp,RealMLP (agentic),9,5.125,36,36,36
