dataset,task_type,size_group,is_large,n_rows,n_feature_cols,n_cells
black-friday,reg,medium,False,166821,9,1501389
california,reg,small,False,20640,8,165120
churn,clf,small,False,10000,11,110000
diamond,reg,medium,False,53940,9,485460
house,reg,medium,False,22784,16,364544
microsoft,reg,large,True,1200192,136,163226112
tabarena/airfoil_self_noise,reg,small,False,1503,5,7515
tabarena/Amazon_employee_access,clf,small,False,32769,9,294921
tabarena/Another-Dataset-on-used-Fiat-500,reg,small,False,1538,7,10766
tabarena/APSFailure,clf,medium,False,76000,170,12920000
tabarena/bank-marketing,clf,medium,False,45211,13,587743
tabarena/Bioresponse,clf,medium,False,3751,1776,6661776
tabarena/concrete_compressive_strength,reg,small,False,1030,8,8240
tabarena/credit_card_clients_default,clf,medium,False,30000,23,690000
tabarena/customer_satisfaction_in_airline,clf,medium,False,129880,21,2727480
tabarena/diabetes,clf,small,False,768,8,6144
tabarena/Diabetes130US,clf,medium,False,71518,47,3361346
tabarena/E-CommereShippingData,clf,small,False,10999,10,109990
tabarena/Food_Delivery_Time,reg,medium,False,45451,9,409059
tabarena/GiveMeSomeCredit,clf,medium,False,150000,10,1500000
tabarena/healthcare_insurance_expenses,reg,small,False,1338,6,8028
tabarena/heloc,clf,small,False,10459,23,240557
tabarena/HR_Analytics_Job_Change_of_Data_Scientists,clf,small,False,19158,12,229896
tabarena/in_vehicle_coupon_recommendation,clf,medium,False,12684,24,304416
tabarena/jm1,clf,small,False,10885,21,228585
tabarena/kddcup09_appetency,clf,medium,False,50000,212,10600000
tabarena/miami_housing,reg,small,False,13776,15,206640
tabarena/NATICUSdroid,clf,medium,False,7491,86,644226
tabarena/online_shoppers_intention,clf,small,False,12330,17,209610
tabarena/physiochemical_protein,reg,medium,False,45730,9,411570
tabarena/polish_companies_bankruptcy,clf,medium,False,5910,64,378240
tabarena/qsar-biodeg,clf,small,False,1054,41,43214
tabarena/QSAR-TID-11,reg,medium,False,5742,1024,5879808
tabarena/QSAR_fish_toxicity,reg,small,False,907,6,5442
tabarena/splice,clf,small,False,3190,60,191400
tabarena/taiwanese_bankruptcy_prediction,clf,medium,False,6819,94,640986
tabarena/wine_quality,reg,small,False,6497,12,77964
tabred/cooking-time,reg,large,True,319986,192,61437312
tabred/delivery-eta,reg,large,True,416451,223,92868573
tabred/ecom-offers,clf,large,True,160057,119,19046783
tabred/homecredit-default,clf,large,True,381664,696,265638144
tabred/homesite-insurance,clf,large,True,260753,299,77965147
tabred/maps-routing,reg,large,True,340981,986,336207266
tabred/sberbank-housing,reg,large,True,28321,392,11101832
tabred/weather,reg,large,True,423795,103,43650885
