scope,metric,task_type,size_group,method,method_display,method_order,value,std,n_datasets
ensemble,improvement_over_baseline_hpset,clf,small,realmlp,RealMLP,0,0.0,,10
ensemble,improvement_over_baseline_hpset,clf,small,agentic-realmlp,RealMLP (agentic),1,0.3801481740724631,2.2426994105357365,10
ensemble,improvement_over_baseline_hpset,clf,small,mlp,MLP,2,0.0,,10
ensemble,improvement_over_baseline_hpset,clf,small,agentic-mlp,MLP (agentic),3,2.1073082182835914,5.614717792652607,10
ensemble,improvement_over_baseline_hpset,clf,small,lightgbm,LightGBM,4,0.0,,10
ensemble,improvement_over_baseline_hpset,clf,small,agentic-lightgbm,LightGBM (agentic),5,0.9891258005842337,3.779161528054418,10
ensemble,improvement_over_baseline_hpset,clf,small,tabm,TabM,6,0.0,,10
ensemble,improvement_over_baseline_hpset,clf,small,agentic-tabm,TabM (agentic),7,2.8521534975211535,5.468657772363649,10
ensemble,improvement_over_baseline_hpset,clf,medium,realmlp,RealMLP,0,0.0,,12
ensemble,improvement_over_baseline_hpset,clf,medium,agentic-realmlp,RealMLP (agentic),1,0.07407394077518302,0.4309686180708734,12
ensemble,improvement_over_baseline_hpset,clf,medium,mlp,MLP,2,0.0,,12
ensemble,improvement_over_baseline_hpset,clf,medium,agentic-mlp,MLP (agentic),3,0.5161553669746394,1.017656853599372,12
ensemble,improvement_over_baseline_hpset,clf,medium,lightgbm,LightGBM,4,0.0,,12
ensemble,improvement_over_baseline_hpset,clf,medium,agentic-lightgbm,LightGBM (agentic),5,-0.7548074621028552,2.957523204221147,12
ensemble,improvement_over_baseline_hpset,clf,medium,tabm,TabM,6,0.0,,12
ensemble,improvement_over_baseline_hpset,clf,medium,agentic-tabm,TabM (agentic),7,-0.020505650531356615,0.4070742990047481,12
ensemble,improvement_over_baseline_hpset,clf,large,realmlp,RealMLP,0,0.0,,3
ensemble,improvement_over_baseline_hpset,clf,large,agentic-realmlp,RealMLP (agentic),1,-0.014948965699827796,0.19447528292246524,3
ensemble,improvement_over_baseline_hpset,clf,large,mlp,MLP,2,0.0,,3
ensemble,improvement_over_baseline_hpset,clf,large,agentic-mlp,MLP (agentic),3,0.24305981337639093,0.27879295861973563,3
ensemble,improvement_over_baseline_hpset,clf,large,lightgbm,LightGBM,4,0.0,,3
ensemble,improvement_over_baseline_hpset,clf,large,agentic-lightgbm,LightGBM (agentic),5,-0.3570208468602321,0.8758590586220877,3
ensemble,improvement_over_baseline_hpset,clf,large,tabm,TabM,6,0.0,,3
ensemble,improvement_over_baseline_hpset,clf,large,agentic-tabm,TabM (agentic),7,0.6107556135822096,1.5116948387400564,3
ensemble,improvement_over_baseline_hpset,reg,small,realmlp,RealMLP,0,0.0,,8
ensemble,improvement_over_baseline_hpset,reg,small,agentic-realmlp,RealMLP (agentic),1,0.9272582272544374,2.222395798326412,8
ensemble,improvement_over_baseline_hpset,reg,small,mlp,MLP,2,0.0,,8
ensemble,improvement_over_baseline_hpset,reg,small,agentic-mlp,MLP (agentic),3,3.1709358891065773,2.8534735627115992,8
ensemble,improvement_over_baseline_hpset,reg,small,lightgbm,LightGBM,4,0.0,,8
ensemble,improvement_over_baseline_hpset,reg,small,agentic-lightgbm,LightGBM (agentic),5,1.0201410944821507,2.110453610656496,8
ensemble,improvement_over_baseline_hpset,reg,small,tabm,TabM,6,0.0,,8
ensemble,improvement_over_baseline_hpset,reg,small,agentic-tabm,TabM (agentic),7,1.4693119049774026,3.0626986392357587,8
ensemble,improvement_over_baseline_hpset,reg,medium,realmlp,RealMLP,0,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,medium,agentic-realmlp,RealMLP (agentic),1,-0.5569766060161944,1.3093787528494578,6
ensemble,improvement_over_baseline_hpset,reg,medium,mlp,MLP,2,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,medium,agentic-mlp,MLP (agentic),3,1.6445262400860747,0.9768052993798462,6
ensemble,improvement_over_baseline_hpset,reg,medium,lightgbm,LightGBM,4,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,medium,agentic-lightgbm,LightGBM (agentic),5,2.60638509319742,4.21107194650514,6
ensemble,improvement_over_baseline_hpset,reg,medium,tabm,TabM,6,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,medium,agentic-tabm,TabM (agentic),7,1.4903025884330283,1.3250167561515842,6
ensemble,improvement_over_baseline_hpset,reg,large,realmlp,RealMLP,0,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,large,agentic-realmlp,RealMLP (agentic),1,1.027336086945116,2.11000080610041,6
ensemble,improvement_over_baseline_hpset,reg,large,mlp,MLP,2,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,large,agentic-mlp,MLP (agentic),3,-0.5715678592565706,1.584678482382976,6
ensemble,improvement_over_baseline_hpset,reg,large,lightgbm,LightGBM,4,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,large,agentic-lightgbm,LightGBM (agentic),5,-2.312317441329682,4.165889428399359,6
ensemble,improvement_over_baseline_hpset,reg,large,tabm,TabM,6,0.0,,6
ensemble,improvement_over_baseline_hpset,reg,large,agentic-tabm,TabM (agentic),7,-0.37551964344839267,1.5884043819018239,6
