scope,metric,task_type,size_group,method,method_display,method_order,value,std,n_datasets
single,improvement_over_baseline_hpset,clf,small,realmlp,RealMLP,0,0.0,,10
single,improvement_over_baseline_hpset,clf,small,agentic-realmlp,RealMLP (agentic),1,-0.02908527077234359,2.184459081385438,10
single,improvement_over_baseline_hpset,clf,small,mlp,MLP,2,0.0,,10
single,improvement_over_baseline_hpset,clf,small,agentic-mlp,MLP (agentic),3,2.0975576340085267,5.888816621678338,10
single,improvement_over_baseline_hpset,clf,small,lightgbm,LightGBM,4,0.0,,10
single,improvement_over_baseline_hpset,clf,small,agentic-lightgbm,LightGBM (agentic),5,1.1728029367658448,3.8877214653991916,10
single,improvement_over_baseline_hpset,clf,small,tabm,TabM,6,0.0,,10
single,improvement_over_baseline_hpset,clf,small,agentic-tabm,TabM (agentic),7,-0.19462049638769346,2.508307227786987,10
single,improvement_over_baseline_hpset,clf,small,tabicl,TabICL,8,0.0,,10
single,improvement_over_baseline_hpset,clf,small,agentic-tabicl,TabICL (agentic),9,0.4102311903889119,1.2362056683798803,10
single,improvement_over_baseline_hpset,clf,medium,realmlp,RealMLP,0,0.0,,12
single,improvement_over_baseline_hpset,clf,medium,agentic-realmlp,RealMLP (agentic),1,-0.7844444494441124,2.1695562296643947,12
single,improvement_over_baseline_hpset,clf,medium,mlp,MLP,2,0.0,,12
single,improvement_over_baseline_hpset,clf,medium,agentic-mlp,MLP (agentic),3,-0.42158997190109476,1.3064697320847347,12
single,improvement_over_baseline_hpset,clf,medium,lightgbm,LightGBM,4,0.0,,12
single,improvement_over_baseline_hpset,clf,medium,agentic-lightgbm,LightGBM (agentic),5,-0.05125313645650404,0.5413480442496849,12
single,improvement_over_baseline_hpset,clf,medium,tabm,TabM,6,0.0,,12
single,improvement_over_baseline_hpset,clf,medium,agentic-tabm,TabM (agentic),7,-0.39710513640893597,1.1566252562593193,12
single,improvement_over_baseline_hpset,clf,medium,tabicl,TabICL,8,0.0,,12
single,improvement_over_baseline_hpset,clf,medium,agentic-tabicl,TabICL (agentic),9,0.13618959714296666,1.4809758757558968,12
single,improvement_over_baseline_hpset,clf,large,realmlp,RealMLP,0,0.0,,3
single,improvement_over_baseline_hpset,clf,large,agentic-realmlp,RealMLP (agentic),1,-0.7688522898835073,1.1313846158819876,3
single,improvement_over_baseline_hpset,clf,large,mlp,MLP,2,0.0,,3
single,improvement_over_baseline_hpset,clf,large,agentic-mlp,MLP (agentic),3,0.4935971067110807,0.7646292403406966,3
single,improvement_over_baseline_hpset,clf,large,lightgbm,LightGBM,4,0.0,,3
single,improvement_over_baseline_hpset,clf,large,agentic-lightgbm,LightGBM (agentic),5,0.19114500228218137,0.32422929340868656,3
single,improvement_over_baseline_hpset,clf,large,tabm,TabM,6,0.0,,3
single,improvement_over_baseline_hpset,clf,large,agentic-tabm,TabM (agentic),7,0.717821743036823,1.2852918671587477,3
single,improvement_over_baseline_hpset,clf,large,tabicl,TabICL,8,0.0,,3
single,improvement_over_baseline_hpset,clf,large,agentic-tabicl,TabICL (agentic),9,1.0555775796535485,1.4372023825076266,3
single,improvement_over_baseline_hpset,reg,small,realmlp,RealMLP,0,0.0,,8
single,improvement_over_baseline_hpset,reg,small,agentic-realmlp,RealMLP (agentic),1,0.34587327467563955,2.099308694140031,8
single,improvement_over_baseline_hpset,reg,small,mlp,MLP,2,0.0,,8
single,improvement_over_baseline_hpset,reg,small,agentic-mlp,MLP (agentic),3,3.707274754182121,3.720770717139305,8
single,improvement_over_baseline_hpset,reg,small,lightgbm,LightGBM,4,0.0,,8
single,improvement_over_baseline_hpset,reg,small,agentic-lightgbm,LightGBM (agentic),5,2.0790084349435314,5.105494905437291,8
single,improvement_over_baseline_hpset,reg,small,tabm,TabM,6,0.0,,8
single,improvement_over_baseline_hpset,reg,small,agentic-tabm,TabM (agentic),7,1.7644397762602806,5.366634396160327,8
single,improvement_over_baseline_hpset,reg,small,tabicl,TabICL,8,0.0,,8
single,improvement_over_baseline_hpset,reg,small,agentic-tabicl,TabICL (agentic),9,0.14753190527790672,0.9090599585084834,8
single,improvement_over_baseline_hpset,reg,medium,realmlp,RealMLP,0,0.0,,6
single,improvement_over_baseline_hpset,reg,medium,agentic-realmlp,RealMLP (agentic),1,0.30734704404496377,0.8447824313121081,6
single,improvement_over_baseline_hpset,reg,medium,mlp,MLP,2,0.0,,6
single,improvement_over_baseline_hpset,reg,medium,agentic-mlp,MLP (agentic),3,1.6379136460064558,2.75779457781915,6
single,improvement_over_baseline_hpset,reg,medium,lightgbm,LightGBM,4,0.0,,6
single,improvement_over_baseline_hpset,reg,medium,agentic-lightgbm,LightGBM (agentic),5,1.7704556982895303,2.2787655848109765,6
single,improvement_over_baseline_hpset,reg,medium,tabm,TabM,6,0.0,,6
single,improvement_over_baseline_hpset,reg,medium,agentic-tabm,TabM (agentic),7,1.5693985314194576,1.5447139050157044,6
single,improvement_over_baseline_hpset,reg,medium,tabicl,TabICL,8,0.0,,6
single,improvement_over_baseline_hpset,reg,medium,agentic-tabicl,TabICL (agentic),9,0.23315074165519,1.1319102037777082,6
single,improvement_over_baseline_hpset,reg,large,realmlp,RealMLP,0,0.0,,6
single,improvement_over_baseline_hpset,reg,large,agentic-realmlp,RealMLP (agentic),1,-0.3341678579849458,0.8678074375124071,6
single,improvement_over_baseline_hpset,reg,large,mlp,MLP,2,0.0,,6
single,improvement_over_baseline_hpset,reg,large,agentic-mlp,MLP (agentic),3,0.13944614839753094,0.34223844493246386,6
single,improvement_over_baseline_hpset,reg,large,lightgbm,LightGBM,4,0.0,,6
single,improvement_over_baseline_hpset,reg,large,agentic-lightgbm,LightGBM (agentic),5,-0.36135666042568276,0.8131476762555988,6
single,improvement_over_baseline_hpset,reg,large,tabm,TabM,6,0.0,,6
single,improvement_over_baseline_hpset,reg,large,agentic-tabm,TabM (agentic),7,-0.14838881186805994,0.39339275249987077,6
single,improvement_over_baseline_hpset,reg,large,tabicl,TabICL,8,0.0,,6
single,improvement_over_baseline_hpset,reg,large,agentic-tabicl,TabICL (agentic),9,2.1098687041059625,4.373150176907063,6
