method,method_display,clf_large,clf_medium,clf_small,reg_large,reg_medium,reg_small
agentic-lightgbm,LightGBM (agentic),0.19114500228218137,-0.05125313645650404,1.1728029367658448,-0.36135666042568276,1.7704556982895303,2.0790084349435314
agentic-mlp,MLP (agentic),0.4935971067110807,-0.42158997190109476,2.0975576340085267,0.13944614839753094,1.6379136460064558,3.707274754182121
agentic-realmlp,RealMLP (agentic),-0.7688522898835073,-0.7844444494441124,-0.02908527077234359,-0.3341678579849458,0.30734704404496377,0.34587327467563955
agentic-tabicl,TabICL (agentic),1.0555775796535485,0.13618959714296666,0.4102311903889119,2.1098687041059625,0.23315074165519,0.14753190527790672
agentic-tabm,TabM (agentic),0.717821743036823,-0.39710513640893597,-0.19462049638769346,-0.14838881186805994,1.5693985314194576,1.7644397762602806
lightgbm,LightGBM,0.0,0.0,0.0,0.0,0.0,0.0
mlp,MLP,0.0,0.0,0.0,0.0,0.0,0.0
realmlp,RealMLP,0.0,0.0,0.0,0.0,0.0,0.0
tabicl,TabICL,0.0,0.0,0.0,0.0,0.0,0.0
tabm,TabM,0.0,0.0,0.0,0.0,0.0,0.0
