method,mean_rank,improvement_over_mlp,norm_score,elo,mean_rank_ci_lo,mean_rank_ci_hi,improvement_over_mlp_ci_lo,improvement_over_mlp_ci_hi,norm_score_ci_lo,norm_score_ci_hi,elo_ci_lo,elo_ci_hi,n_datasets,label
RealMLP|agentic|ens,5.088888888888889,3.4389204646389877,0.467335572581085,1404.7839034323558,4.2,6.1338888888888885,2.272474573208439,4.847828390799861,0.36861979167593223,0.5503114167854462,1323.811095668956,1494.846184407781,45,RealMLP (A)
RealMLP|base|ens,6.022222222222222,3.145325259230192,0.3791761595876815,1356.6548466707686,5.022222222222222,6.888888888888889,2.1012879391345294,4.345433279996912,0.2977297014526107,0.47296959965362495,1283.1093766641022,1450.8792861512122,45,RealMLP
TabM|agentic|ens,6.222222222222222,3.1945189810968992,0.3943381606758634,1346.933194018027,5.066111111111111,7.333333333333333,1.8764157042279,4.784584934282588,0.29993483706095564,0.49803595126851385,1273.1925266784663,1439.721654381104,45,TabM$^\dagger$ (A)
TabICL|agentic|single,7.555555555555555,3.74374976975891,0.4792989416227943,1285.69878488344,5.888333333333334,9.467222222222222,1.7025030389718856,6.038977953628272,0.3504557578049849,0.5939646590091444,1177.5033511089168,1410.195283035566,45,TabICLv2 (A)
TabM|base|ens,7.955555555555556,2.2005412231561183,0.2604788537865458,1268.192924910686,6.732777777777778,9.201666666666664,1.2325211975112338,3.240378873440253,0.18235275584240365,0.3460147701379362,1193.107298680296,1358.2351625877218,45,TabM$^\dagger$
MLP|agentic|ens,8.066666666666666,2.6035859050297883,0.22449742816813426,1263.3779279813348,6.866666666666666,9.28888888888889,1.559598634463622,3.8007110548936907,0.15860800041078224,0.2932771228363006,1192.6406449010813,1342.053769929015,45,MLP$^\dagger$ (A)
TabM|agentic|single,8.177777777777777,2.2887119321678324,0.21732860040047308,1258.5807350705084,6.844444444444444,9.422222222222222,1.4062749206932503,3.1702999419640188,0.13862033971474888,0.3028351302856649,1189.7426581697032,1339.9365445548256,45,TabM$^\dagger$ (A)
TabICL|base|single,8.511111111111111,3.1780041526824165,0.44899923908685585,1244.280967921109,6.666111111111111,10.688888888888888,1.0171542715766595,5.5408074437873,0.31105691744431185,0.5703384543861516,1129.6539296185401,1373.0424175588391,45,TabICLv2
RealMLP|base|single,9.066666666666666,1.8541584296769935,0.21787913131604245,1220.668435775143,7.7988888888888885,10.466666666666667,1.0460518981732005,2.708387825857968,0.13169284418376176,0.3143421222222982,1148.6418071418198,1300.7935673049285,45,RealMLP
TabM|base|single,9.244444444444444,1.8590723109490686,0.17152783743206002,1213.1475347242786,8.066666666666666,10.467222222222222,1.0064191236028457,2.876415567200299,0.10539388220448306,0.2421825095905278,1141.435604138277,1294.695115667829,45,TabM$^\dagger$
RealMLP|agentic|single,10.355555555555556,1.6584901957231863,0.16179363506322053,1166.1068514229373,9.044444444444444,11.733333333333333,0.8229831463930337,2.562224847971783,0.09312477517549692,0.2383946408205668,1079.5432126977842,1253.4582723431029,45,RealMLP (A)
MLP|base|ens,11.022222222222222,1.2995931496596795,0.09112581192204289,1137.478501692468,9.910555555555556,12.15611111111111,0.761877008264474,1.8908053331619072,0.03353039852365085,0.159010844184152,1099.2093394616554,1183.6120218806243,45,MLP$^\dagger$
LightGBM|agentic|ens,11.466666666666667,0.3918520668557991,0.13011934742968828,1118.0334180708346,9.88888888888889,12.822777777777778,-1.5635037826191018,2.3869628747829563,0.06483779885977464,0.2111337022599778,1023.57088030461,1226.688918571989,45,LightGBM (A)
LightGBM|agentic|single,11.511111111111111,1.1222016285458396,0.12449832566287815,1116.0682221463585,10.11111111111111,12.645555555555553,0.044386527326528626,2.546084330997478,0.05426983334477046,0.2145380938564913,1024.2621288271803,1214.9594275886034,45,LightGBM (A)
LightGBM|base|single,11.733333333333333,0.23538475482746835,0.12541256423032784,1106.1769276947985,10.244444444444444,13.023333333333332,-1.3917449657039014,1.6211182317145982,0.05765010058629528,0.20151092308588736,1023.8031201835267,1197.7401622638322,45,LightGBM
LightGBM|base|ens,12.133333333333333,0.19959475651118608,0.10028524266296156,1088.0603562956408,10.777777777777779,13.244444444444444,-1.5028693861263358,1.7707914460192455,0.03679244633941693,0.17251485188519075,1005.2204953499006,1185.4944568968806,45,LightGBM
MLP|agentic|single,12.955555555555556,1.2826587732730281,0.0713838654993674,1049.1834630196593,11.6,14.133888888888889,0.40259410339976764,2.4512515626944382,0.024288993713772945,0.13595959926529638,974.7884307028153,1126.708070925973,45,MLP$^\dagger$ (A)
MLP|base|single,13.911111111111111,0.0,0.038012567983363756,1000.0,12.8,14.93388888888889,0.0,0.0,0.009026965104106197,0.07479460419307304,1000.0,1000.0,45,MLP$^\dagger$
