method,label,n_present,n_missing,missing_datasets
LightGBM|agentic|ens,LightGBM ens. (agentic),45,0,
LightGBM|agentic|single,LightGBM (agentic),45,0,
LightGBM|base|ens,LightGBM ens.,45,0,
LightGBM|base|single,LightGBM,45,0,
MLP|agentic|ens,MLP$^\dagger$ ens. (agentic),45,0,
MLP|agentic|single,MLP$^\dagger$ (agentic),45,0,
MLP|base|ens,MLP$^\dagger$ ens.,45,0,
MLP|base|single,MLP$^\dagger$,45,0,
RealMLP|agentic|ens,RealMLP ens. (agentic),45,0,
RealMLP|agentic|single,RealMLP (agentic),45,0,
RealMLP|base|ens,RealMLP ens.,45,0,
RealMLP|base|single,RealMLP,45,0,
TabICL|agentic|single,TabICLv2 (agentic),45,0,
TabICL|base|single,TabICLv2,45,0,
TabM|agentic|ens,TabM$^\dagger$ ens. (agentic),45,0,
TabM|agentic|single,TabM$^\dagger$ (agentic),45,0,
TabM|base|ens,TabM$^\dagger$ ens.,45,0,
TabM|base|single,TabM$^\dagger$,45,0,
