dataset,n_models_missing
black-friday,0
california,0
churn,0
diamond,0
house,0
microsoft,0
tabarena/APSFailure,0
tabarena/Amazon_employee_access,0
tabarena/Another-Dataset-on-used-Fiat-500,0
tabarena/Bioresponse,0
tabarena/Diabetes130US,0
tabarena/E-CommereShippingData,0
tabarena/Food_Delivery_Time,0
tabarena/GiveMeSomeCredit,0
tabarena/HR_Analytics_Job_Change_of_Data_Scientists,0
tabarena/NATICUSdroid,0
tabarena/QSAR-TID-11,0
tabarena/QSAR_fish_toxicity,0
tabarena/airfoil_self_noise,0
tabarena/bank-marketing,0
tabarena/concrete_compressive_strength,0
tabarena/credit_card_clients_default,0
tabarena/customer_satisfaction_in_airline,0
tabarena/diabetes,0
tabarena/healthcare_insurance_expenses,0
tabarena/heloc,0
tabarena/in_vehicle_coupon_recommendation,0
tabarena/jm1,0
tabarena/kddcup09_appetency,0
tabarena/miami_housing,0
tabarena/online_shoppers_intention,0
tabarena/physiochemical_protein,0
tabarena/polish_companies_bankruptcy,0
tabarena/qsar-biodeg,0
tabarena/splice,0
tabarena/taiwanese_bankruptcy_prediction,0
tabarena/wine_quality,0
tabred/cooking-time,0
tabred/delivery-eta,0
tabred/ecom-offers,0
tabred/homecredit-default,0
tabred/homesite-insurance,0
tabred/maps-routing,0
tabred/sberbank-housing,0
tabred/weather,0
