scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,3449.6726429069313,1.8947593101545743,3449.6726429069313,1.8947593101545743,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,3436.878055984555,1.0140472524791366,3436.878055984555,1.0140472524791366,,,200
single,mlp,MLP,rmse,lower,3472.8161929578873,2.494646832323948,3472.8161929578873,2.494646832323948,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,3477.9204596849036,3.4170316276554322,3477.9204596849036,3.4170316276554322,,,200
single,lightgbm,LightGBM,rmse,lower,3451.5506208793654,0.49481370753668646,3451.5506208793654,0.49481370753668646,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,3450.083961925455,0.4347391083926993,3450.083961925455,0.4347391083926993,,,200
single,tabm,TabM,rmse,lower,3455.1369063040047,3.1767954480352714,3455.1369063040047,3.1767954480352714,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,3448.352961024087,1.8410675559123553,3448.352961024087,1.8410675559123553,,,200
single,tabicl,TabICL,rmse,lower,3536.846866006623,3.4224385744767725,3536.846866006623,3.4224385744767725,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,3534.4423271291485,2.0255529011800197,3534.4423271291485,2.0255529011800197,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,3454.0025608156457,,3454.0025608156457,,3464.511036792638,0.946518736568603,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,3459.522997920972,,3459.522997920972,,3478.7106729022526,0.9633161922420452,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,3443.1804730801855,,3443.1804730801855,,3447.135830521778,0.9762607059960218,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,3459.9373874083885,,3459.9373874083885,,3464.5034013933964,0.9659235393101046,100
ensemble,lightgbm,LightGBM,rmse,lower,3453.7888426367026,,3453.7888426367026,,3455.7972385336234,0.9824116542649125,100
ensemble,mlp,MLP,rmse,lower,3460.891728317504,,3460.891728317504,,3476.2289872561037,0.9804603110637152,100
ensemble,realmlp,RealMLP,rmse,lower,3445.8427261883203,,3445.8427261883203,,3454.089785865143,0.9918624073314515,100
ensemble,tabm,TabM,rmse,lower,3456.476335608605,,3456.476335608605,,3460.2212725511044,0.9832083222707582,100
