scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.40618420616632894,0.0022219286675170457,0.40618420616632894,0.0022219286675170457,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.4070899851577877,0.0017873719986093647,0.4070899851577877,0.0017873719986093647,,,200
single,mlp,MLP,rmse,lower,0.4535039941302183,0.0019908568999599417,0.4535039941302183,0.0019908568999599417,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,0.4371690863341735,0.0018847375263524734,0.4371690863341735,0.0018847375263524734,,,200
single,lightgbm,LightGBM,rmse,lower,0.43318723286413846,0.0015316528553884605,0.43318723286413846,0.0015316528553884605,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.4334396863407379,0.0017203871464852535,0.4334396863407379,0.0017203871464852535,,,200
single,tabm,TabM,rmse,lower,0.4302491347036779,0.002276585820941452,0.4302491347036779,0.002276585820941452,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,0.4136290883762315,0.0021205607170056515,0.4136290883762315,0.0021205607170056515,,,200
single,tabicl,TabICL,rmse,lower,0.3978445450174587,0.0006210172878710236,0.3978445450174587,0.0006210172878710236,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.38974321825112584,0.0019274454960114267,0.38974321825112584,0.0019274454960114267,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.4316220576548797,,0.4316220576548797,,0.44208484483710364,0.978227439278053,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.43438768659026233,,0.43438768659026233,,0.45808877740291076,0.9468592902089171,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.3921926565689875,,0.3921926565689875,,0.39471054808359474,0.9823118255978647,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.40789767173025454,,0.40789767173025454,,0.42081250948923427,0.9798025896094261,100
ensemble,lightgbm,LightGBM,rmse,lower,0.42722134209409407,,0.42722134209409407,,0.4305289178589996,0.9670746051769965,100
ensemble,mlp,MLP,rmse,lower,0.44170553874482243,,0.44170553874482243,,0.45277904167538324,0.9802813757280693,100
ensemble,realmlp,RealMLP,rmse,lower,0.4054142557182734,,0.4054142557182734,,0.41375254054814314,0.9826461927891558,100
ensemble,tabm,TabM,rmse,lower,0.415695288217198,,0.415695288217198,,0.4224725199016642,0.9854994267963745,100
