scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,accuracy,higher,0.8622333333333334,0.0013274871834493328,0.1377666666666666,0.0013274871834493328,,,200
single,agentic-realmlp,RealMLP (agentic),accuracy,higher,0.8622,0.0017107503227141868,0.13780000000000003,0.0017107503227141868,,,200
single,mlp,MLP,accuracy,higher,0.8611000000000001,0.00274590604354919,0.1388999999999999,0.00274590604354919,,,200
single,agentic-mlp,MLP (agentic),accuracy,higher,0.8600333333333335,0.0030081371127142617,0.13996666666666646,0.0030081371127142617,,,200
single,lightgbm,LightGBM,accuracy,higher,0.8603333333333334,0.0009249624617007813,0.1396666666666666,0.0009249624617007813,,,200
single,agentic-lightgbm,LightGBM (agentic),accuracy,higher,0.8592333333333334,0.0021592179654268797,0.1407666666666666,0.0021592179654268797,,,200
single,tabm,TabM,accuracy,higher,0.8621000000000001,0.0012409673645990837,0.1378999999999999,0.0012409673645990837,,,200
single,agentic-tabm,TabM (agentic),accuracy,higher,0.8614333333333335,0.0022573337271116194,0.1385666666666665,0.0022573337271116194,,,200
single,tabicl,TabICL,accuracy,higher,0.8640666666666666,0.0014704496666741805,0.13593333333333335,0.0014704496666741805,,,grid
single,agentic-tabicl,TabICL (agentic),accuracy,higher,0.8650000000000001,0.0014023789311975099,0.1349999999999999,0.0014023789311975099,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),accuracy,higher,0.8625,,0.13749999999999996,,0.14400000000000002,0.4087136250681053,100
ensemble,agentic-mlp,MLP (agentic),accuracy,higher,0.863,,0.137,,0.135,0.8837480487264997,100
ensemble,agentic-realmlp,RealMLP (agentic),accuracy,higher,0.861,,0.139,,0.13749999999999996,0.9836737792321884,100
ensemble,agentic-tabm,TabM (agentic),accuracy,higher,0.858,,0.14200000000000002,,0.14149999999999996,0.8564162997143266,100
ensemble,lightgbm,LightGBM,accuracy,higher,0.861,,0.139,,0.14249999999999996,0.9604463562506398,100
ensemble,mlp,MLP,accuracy,higher,0.861,,0.139,,0.14249999999999996,0.9511094071136165,100
ensemble,realmlp,RealMLP,accuracy,higher,0.862,,0.138,,0.14400000000000002,0.9862402048801147,100
ensemble,tabm,TabM,accuracy,higher,0.8575,,0.14249999999999996,,0.14300000000000002,0.8669770865347569,100
