scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.7417618849659274,0.00029648597728291565,0.7417618849659274,0.00029648597728291565,,,100
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.743503567378354,0.0001703954935260576,0.743503567378354,0.0001703954935260576,,,100
single,mlp,MLP,rmse,lower,0.7465393669974093,0.0003640989001642241,0.7465393669974093,0.0003640989001642241,,,100
single,agentic-mlp,MLP (agentic),rmse,lower,0.7460965645361772,0.0004040252145237022,0.7460965645361772,0.0004040252145237022,,,100
single,lightgbm,LightGBM,rmse,lower,0.7415937644330197,0.00011439794401250994,0.7415937644330197,0.00011439794401250994,,,100
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.7416211367147286,0.00011323055486271591,0.7416211367147286,0.00011323055486271591,,,100
single,tabm,TabM,rmse,lower,0.7414263231414819,0.00019698682749076231,0.7414263231414819,0.00019698682749076231,,,100
single,agentic-tabm,TabM (agentic),rmse,lower,0.7428519859344191,0.00019639085934857562,0.7428519859344191,0.00019639085934857562,,,100
single,tabicl,TabICL,rmse,lower,0.7631133217175152,0.0024784404426825973,0.7631133217175152,0.0024784404426825973,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.7598502072436565,0.0012945334088313512,0.7598502072436565,0.0012945334088313512,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.7434630432763962,,0.7434630432763962,,0.7437054534116545,0.9813272886289889,20
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.7445791932163908,,0.7445791932163908,,0.7493045320663773,0.929149580975312,20
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.7424783640301009,,0.7424783640301009,,0.7438158203365504,0.9433932831392194,20
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.7425780470739406,,0.7425780470739406,,0.7453489751172107,0.9405976532612403,20
ensemble,lightgbm,LightGBM,rmse,lower,0.7421738476082596,,0.7421738476082596,,0.7427217400999302,0.9571625832871017,20
ensemble,mlp,MLP,rmse,lower,0.7438089080368628,,0.7438089080368628,,0.7459501739024436,0.9432780310222861,20
ensemble,realmlp,RealMLP,rmse,lower,0.7441327613946366,,0.7441327613946366,,0.747250109983742,0.9474076631626744,20
ensemble,tabm,TabM,rmse,lower,0.7421679038658722,,0.7421679038658722,,0.7431590355534322,0.9827014467433902,20
