scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.9930895640146994,0.0009632513487001664,0.006910435985300611,0.0009632513487001664,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9914049754947579,0.001397560953398054,0.008595024505242077,0.001397560953398054,,,200
single,mlp,MLP,roc_auc,higher,0.9921826999923364,0.0006447088578060065,0.007817300007663563,0.0006447088578060065,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.9872140134222309,0.0030724036503339772,0.012785986577769082,0.0030724036503339772,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.9928678045273572,0.0009231367869070802,0.007132195472642766,0.0009231367869070802,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9930214091517865,0.0007980341734761414,0.006978590848213506,0.0007980341734761414,,,200
single,tabm,TabM,roc_auc,higher,0.9933036073614259,0.0006221665372505704,0.0066963926385741335,0.0006221665372505704,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.9942629428916551,0.00031125675436845707,0.005737057108344934,0.00031125675436845707,,,200
single,tabicl,TabICL,roc_auc,higher,0.9936975363381906,0.00016531897389983954,0.006302463661809421,0.00016531897389983954,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.993889178645588,0.0004200764332554436,0.006110821354411988,0.0004200764332554436,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9942795896694803,,0.005720410330519732,,0.005792053951675591,0.9820864407354611,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.9953146998609607,,0.004685300139039339,,0.01067997941778609,0.9855934169204303,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9940369385051621,,0.00596306149483794,,0.006718472536976883,0.9963576293443978,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.995430573346033,,0.004569426653966979,,0.007502129383299971,0.9923259409925276,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.9881589647584325,,0.011841035241567544,,0.009290285851917601,0.9826247456278675,100
ensemble,mlp,MLP,roc_auc,higher,0.9938751710622832,,0.00612482893771682,,0.007565759078617451,0.9956125383656953,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.9925367140714466,,0.007463285928553387,,0.006027698404878379,0.9972823111448711,100
ensemble,tabm,TabM,roc_auc,higher,0.9939991022651382,,0.006000897734861788,,0.006827689646489499,0.9960775424628017,100
