scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.844766918740598,0.005400519177805472,0.15523308125940205,0.005400519177805472,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8562692576406323,0.0063371925164006785,0.14373074235936767,0.0063371925164006785,,,200
single,mlp,MLP,roc_auc,higher,0.8329680198625075,0.0015495574343240262,0.16703198013749254,0.0015495574343240262,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8350650910815933,0.0035557113086640444,0.16493490891840668,0.0035557113086640444,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8275249470370037,0.0038818171653935006,0.17247505296299626,0.0038818171653935006,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8380961489023835,0.0025770126961601534,0.1619038510976165,0.0025770126961601534,,,200
single,tabm,TabM,roc_auc,higher,0.8307043053473049,0.007720312667519897,0.16929569465269512,0.007720312667519897,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8301337154213239,0.004859845085968518,0.16986628457867614,0.004859845085968518,,,200
single,tabicl,TabICL,roc_auc,higher,0.8464359808886303,0.0011861604467669855,0.15356401911136974,0.0011861604467669855,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8443325545200078,0.0011643432747530209,0.15566744547999223,0.0011643432747530209,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8557988638222658,,0.14420113617773422,,0.1540337569143001,0.9568020808928084,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8569977576572376,,0.14300224234276238,,0.17257575133242875,0.881915872719923,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8548980982522518,,0.14510190174774817,,0.15126173293857603,0.9525470837074742,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.846508685849378,,0.153491314150622,,0.14743887986184312,-0.10579773255406746,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.833206999110689,,0.16679300088931104,,0.18038505133525795,0.9741664995377284,100
ensemble,mlp,MLP,roc_auc,higher,0.8478892395838075,,0.15211076041619254,,0.16904195505720254,0.9725674546817099,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8692665275913941,,0.1307334724086059,,0.1434423620737797,0.9827914866628078,100
ensemble,tabm,TabM,roc_auc,higher,0.837488422352578,,0.16251157764742197,,0.17293891737772582,0.9186568138343164,100
