scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,747.5713776408644,11.91383644368075,747.5713776408644,11.91383644368075,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,757.9337661360812,12.226589226328409,757.9337661360812,12.226589226328409,,,200
single,mlp,MLP,rmse,lower,738.2305336726607,9.573617570104629,738.2305336726607,9.573617570104629,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,712.4839677993605,1.6399325839317251,712.4839677993605,1.6399325839317251,,,200
single,lightgbm,LightGBM,rmse,lower,718.2745991939039,2.7030358556252536,718.2745991939039,2.7030358556252536,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,719.6040437989058,7.452302659521062,719.6040437989058,7.452302659521062,,,200
single,tabm,TabM,rmse,lower,727.6719156837553,3.1546592737696697,727.6719156837553,3.1546592737696697,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,719.0331713499562,3.9807555929867604,719.0331713499562,3.9807555929867604,,,200
single,tabicl,TabICL,rmse,lower,682.0028850708089,1.9722462049907197,682.0028850708089,1.9722462049907197,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,686.2607841645209,0.5633541485712696,686.2607841645209,0.5633541485712696,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,715.0800018011529,,715.0800018011529,,708.0617706999784,0.9704024285584817,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,713.9356501993259,,713.9356501993259,,719.5606495930789,0.9778145269932106,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,720.8662123433414,,720.8662123433414,,755.688621053065,0.9836994404735047,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,727.3505945384956,,727.3505945384956,,729.4536157057466,0.9697553845183039,100
ensemble,lightgbm,LightGBM,rmse,lower,722.3253846051045,,722.3253846051045,,717.9746779834671,0.9653724993067029,100
ensemble,mlp,MLP,rmse,lower,727.4892004286714,,727.4892004286714,,747.605647094857,0.9922916352729905,100
ensemble,realmlp,RealMLP,rmse,lower,698.7136949547667,,698.7136949547667,,713.7554768691875,0.9875016747681986,100
ensemble,tabm,TabM,rmse,lower,721.8323660655959,,721.8323660655959,,724.0962410948711,0.9966719680409513,100
