scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.8695818554040302,0.004151988884500984,0.1304181445959698,0.004151988884500984,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8624301362011596,0.003701329360682065,0.1375698637988404,0.003701329360682065,,,200
single,mlp,MLP,roc_auc,higher,0.8530184078346984,0.004918005096857398,0.1469815921653016,0.004918005096857398,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8575687998613449,0.003675765089794463,0.14243120013865507,0.003675765089794463,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8793270080533203,0.003767982677154878,0.12067299194667969,0.003767982677154878,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8689997786323598,0.0027937016658357264,0.13100022136764022,0.0027937016658357264,,,200
single,tabm,TabM,roc_auc,higher,0.8725880794383784,0.0018606291777442795,0.12741192056162165,0.0018606291777442795,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8620055908199354,0.0019384248981926656,0.13799440918006456,0.0019384248981926656,,,200
single,tabicl,TabICL,roc_auc,higher,0.8647544964229392,0.002671166537149598,0.13524550357706078,0.002671166537149598,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.86487135794461,0.0011598783124469219,0.13512864205539,0.0011598783124469219,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8848708088155802,,0.11512919118441978,,0.11464784526916749,0.49523814359299506,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8701035279824141,,0.12989647201758592,,0.1386996967778138,0.7736251434252938,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.875678903663892,,0.124321096336108,,0.13400464357235886,0.7933030020034916,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.8794678939700484,,0.12053210602995157,,0.13707676309029226,0.34914741618045725,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.8830792753556039,,0.11692072464439607,,0.1263880523251324,0.6682758469334795,100
ensemble,mlp,MLP,roc_auc,higher,0.8630738183858694,,0.13692618161413062,,0.1461309569774566,0.8659733719348295,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8783636298115287,,0.12163637018847129,,0.14278470195163895,0.8777354716601286,100
ensemble,tabm,TabM,roc_auc,higher,0.8762966738225043,,0.12370332617749569,,0.12485521011907519,0.9684945733644396,100
