scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.677079193039369,0.003123178052100223,0.32292080696063097,0.003123178052100223,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.6530165440468817,0.03399235664231814,0.3469834559531183,0.03399235664231814,,,200
single,mlp,MLP,roc_auc,higher,0.6663411569488525,0.0009961961836122784,0.33365884305114746,0.0009961961836122784,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.6651033086193792,0.0031674765688981203,0.33489669138062084,0.0031674765688981203,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.6622360453440801,0.0024026405843818326,0.3377639546559199,0.0024026405843818326,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.6661183765052197,0.002470869715897407,0.33388162349478034,0.002470869715897407,,,200
single,tabm,TabM,roc_auc,higher,0.6697268837539185,0.0029643251479580957,0.33027311624608147,0.0029643251479580957,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.6720694274774541,0.00234390361129884,0.32793057252254587,0.00234390361129884,,,200
single,tabicl,TabICL,roc_auc,higher,0.6643263780633133,0.009988543861185351,0.3356736219366867,0.009988543861185351,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.6451660088526403,0.004100317298524036,0.3548339911473597,0.004100317298524036,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.6732671754439948,,0.32673282455600516,,0.33763114956147044,0.9214400443455965,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.6748051878696341,,0.32519481213036594,,0.3341260088082101,0.9860706043803751,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.6764201491466044,,0.3235798508533956,,0.32714404053288426,0.9791482083403857,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.6764457987637148,,0.3235542012362852,,0.3332928347071151,0.9969999763065872,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.6674101182609578,,0.33258988173904225,,0.33424661681550305,0.9885248006729828,100
ensemble,mlp,MLP,roc_auc,higher,0.6651876337452152,,0.33481236625478483,,0.33353329438683776,0.9981380982174379,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.6732698500194542,,0.32673014998054584,,0.3288850247363154,0.9899922394768617,100
ensemble,tabm,TabM,roc_auc,higher,0.6730008359582904,,0.3269991640417096,,0.3262753844614532,0.9995949549850891,100
