scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.7412976985536698,0.0040368785681435225,0.2587023014463302,0.0040368785681435225,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7408734573280445,0.0035514896042684652,0.25912654267195545,0.0035514896042684652,,,200
single,mlp,MLP,roc_auc,higher,0.7406073717810057,0.0015583404678842525,0.25939262821899434,0.0015583404678842525,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.7350974273590165,0.005484785422957671,0.2649025726409835,0.005484785422957671,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.7418293237150289,0.0008860844051863711,0.25817067628497115,0.0008860844051863711,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7375461931184459,0.00321029561867008,0.26245380688155406,0.00321029561867008,,,200
single,tabm,TabM,roc_auc,higher,0.7404231349393231,0.002420586662671322,0.2595768650606769,0.002420586662671322,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.7397458487482073,0.0019338828185773644,0.26025415125179274,0.0019338828185773644,,,200
single,tabicl,TabICL,roc_auc,higher,0.7406486875571425,0.0011252725136230316,0.2593513124428575,0.0011252725136230316,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.7396055852419346,0.0014386030103859728,0.26039441475806535,0.0014386030103859728,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7414548653729915,,0.25854513462700845,,0.25854513462700845,-0.012412460054727646,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.7370063892669216,,0.26299361073307836,,0.26299361073307836,,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.742484978609738,,0.25751502139026194,,0.2581930080233569,0.9386276799665493,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.7398332906887776,,0.26016670931122243,,0.2563937476900866,0.5023755075059988,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.7373053646851162,,0.2626946353148838,,0.26599217194284885,0.6937423498732789,100
ensemble,mlp,MLP,roc_auc,higher,0.7396447893915178,,0.2603552106084822,,0.2587943580634675,0.9394587090798079,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.7413137984185668,,0.2586862015814332,,0.2634086226055701,0.9711071175348712,100
ensemble,tabm,TabM,roc_auc,higher,0.7367758614509285,,0.26322413854907145,,0.2645298963057454,0.9947619544735984,100
