scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,7.442916787420159,0.014431652928582752,7.442916787420159,0.014431652928582752,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,7.4876271509473655,0.010796711015454843,7.4876271509473655,0.010796711015454843,,,200
single,mlp,MLP,rmse,lower,7.6183763471775,0.006492314629040969,7.6183763471775,0.006492314629040969,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,7.396923327028174,0.012858430404723516,7.396923327028174,0.012858430404723516,,,200
single,lightgbm,LightGBM,rmse,lower,7.518428004904806,0.002403530254152085,7.518428004904806,0.002403530254152085,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,7.284456991000271,0.0010796310585933912,7.284456991000271,0.0010796310585933912,,,200
single,tabm,TabM,rmse,lower,7.701820341878778,0.01736918048506527,7.701820341878778,0.01736918048506527,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,7.3772202451752,0.005941637326652277,7.3772202451752,0.005941637326652277,,,200
single,tabicl,TabICL,rmse,lower,7.678607969068876,0.022582322888271028,7.678607969068876,0.022582322888271028,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,7.496816290004977,1.0176846139131614e-07,7.496816290004977,1.0176846139131614e-07,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,7.316116700311723,,7.316116700311723,,7.355978640149769,0.8555927109435179,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,7.46220723490174,,7.46220723490174,,7.482594882321314,0.9350059968577822,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,7.538879725884459,,7.538879725884459,,7.603587301294093,0.9241995689667555,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,7.406045140629567,,7.406045140629567,,7.468353403522719,0.9370978791398957,100
ensemble,lightgbm,LightGBM,rmse,lower,7.5217289412874395,,7.5217289412874395,,7.536723306718338,0.8988619091818271,100
ensemble,mlp,MLP,rmse,lower,7.616498931872888,,7.616498931872888,,7.614709446117688,0.9359166789377236,100
ensemble,realmlp,RealMLP,rmse,lower,7.377796900738257,,7.377796900738257,,7.382490077658054,0.9510697995781946,100
ensemble,tabm,TabM,rmse,lower,7.689613203174392,,7.689613203174392,,7.688392477657436,0.9442609441754947,100
