scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.8701170650851059,0.00038071629902049,0.1298829349148941,0.00038071629902049,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8688590728446559,0.00041626289767108865,0.1311409271553441,0.00041626289767108865,,,200
single,mlp,MLP,roc_auc,higher,0.870164148292668,0.00022596790365415675,0.12983585170733203,0.00022596790365415675,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8700375384752357,0.00023181049204463273,0.12996246152476432,0.00023181049204463273,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8694785048008874,0.00012035927840596156,0.1305214951991126,0.00012035927840596156,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8681153744146227,0.00013897194012907625,0.13188462558537728,0.00013897194012907625,,,200
single,tabm,TabM,roc_auc,higher,0.8690124248260622,0.0002043367417085689,0.13098757517393778,0.0002043367417085689,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8693983800633505,0.0003523669031748414,0.13060161993664954,0.0003523669031748414,,,200
single,tabicl,TabICL,roc_auc,higher,0.8644678025055471,0.012619497488060375,0.1355321974944529,0.012619497488060375,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8699262005801077,0.0002283445799544429,0.13007379941989228,0.0002283445799544429,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.866283361318782,,0.13371663868121797,,0.1324408888042019,0.7404833647203539,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8701605496932632,,0.12983945030673683,,0.13120834713109975,0.9875365881760475,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8692519557171416,,0.13074804428285836,,0.1308892092527365,0.9847655235680705,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.871224956140226,,0.128775043859774,,0.12919008310827862,0.9941056147398669,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.8691000937106582,,0.13089990628934178,,0.1311900794399904,0.9550617255545574,100
ensemble,mlp,MLP,roc_auc,higher,0.8707258059902842,,0.12927419400971585,,0.13003427040656612,0.9986688299226153,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8693073840668898,,0.1306926159331102,,0.13166454239424163,0.9987493153747319,100
ensemble,tabm,TabM,roc_auc,higher,0.8706178608343242,,0.12938213916567576,,0.1300556163815908,0.9993805694242455,100
