scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.8109296351385631,0.0016013946599602825,0.1890703648614369,0.0016013946599602825,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8103417151813859,0.0021786321054432733,0.18965828481861413,0.0021786321054432733,,,200
single,mlp,MLP,roc_auc,higher,0.8091087171708914,0.0011099677430914704,0.1908912828291086,0.0011099677430914704,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8088346797609239,0.0009598912333833953,0.19116532023907606,0.0009598912333833953,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8068461571520514,0.0013426228187806333,0.19315384284794856,0.0013426228187806333,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8053083174179896,0.0022118569123244602,0.19469168258201042,0.0022118569123244602,,,200
single,tabm,TabM,roc_auc,higher,0.8117280359522546,0.0006761879712546676,0.18827196404774538,0.0006761879712546676,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8117510791336742,0.0006009823479297592,0.18824892086632583,0.0006009823479297592,,,200
single,tabicl,TabICL,roc_auc,higher,0.8066110913697957,0.006272173139383155,0.1933889086302043,0.006272173139383155,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8145031538935116,0.0010005781663099073,0.18549684610648842,0.0010005781663099073,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8097017995693947,,0.1902982004306053,,0.18848060179915005,0.7864752639980281,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.812177412930317,,0.18782258706968302,,0.19137012765118877,0.6204639601545405,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8121937912340174,,0.18780620876598264,,0.19265064894770045,0.9837853168039274,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.8106660230648444,,0.18933397693515563,,0.19583275681704304,0.9810836562430797,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.8076635524304879,,0.19233644756951207,,0.1929410035157012,0.8542953009567212,100
ensemble,mlp,MLP,roc_auc,higher,0.8112303538971455,,0.18876964610285452,,0.19044128129173188,0.985519181325655,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8112819783104089,,0.18871802168959106,,0.18977435676505194,0.9874895921699751,100
ensemble,tabm,TabM,roc_auc,higher,0.8129297666890984,,0.18707023331090156,,0.187631747074966,0.9928336575840899,100
