scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.9844330615442677,0.0004970639679809074,0.015566938455732315,0.0004970639679809074,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9846036170551752,0.0005497079743865576,0.015396382944824816,0.0005497079743865576,,,200
single,mlp,MLP,roc_auc,higher,0.9850543742624261,0.00033095565505546876,0.014945625737573853,0.00033095565505546876,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.9833120197692117,0.0010675121787667983,0.016687980230788324,0.0010675121787667983,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.9853832188228615,0.00013079141481564776,0.014616781177138494,0.00013079141481564776,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9844154373181475,0.00025835686813809473,0.015584562681852487,0.00025835686813809473,,,200
single,tabm,TabM,roc_auc,higher,0.9850926540815592,0.00019300520404402587,0.014907345918440784,0.00019300520404402587,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.9846133926259297,0.0005507517722589054,0.015386607374070271,0.0005507517722589054,,,200
single,tabicl,TabICL,roc_auc,higher,0.9866526330828812,0.0009942688892033908,0.013347366917118797,0.0009942688892033908,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.9857970356521645,0.0014844991786398547,0.014202964347835523,0.0014844991786398547,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9846323797922033,,0.015367620207796695,,0.015132160546830309,0.6358378102356345,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.985723671873568,,0.01427632812643198,,0.015048269230498068,0.9085345902047488,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9860423178818218,,0.01395768211817816,,0.014802940002904497,0.9829140821014937,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.9865259266465608,,0.013474073353439198,,0.014778971055380952,0.9770761825837158,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.9843990350383713,,0.01560096496162866,,0.015463495997890764,0.7363840272844118,100
ensemble,mlp,MLP,roc_auc,higher,0.9847261406751628,,0.015273859324837158,,0.016750769473712346,0.9771470454374425,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.9856249762072948,,0.014375023792705166,,0.015151194711040206,0.9903014598368525,100
ensemble,tabm,TabM,roc_auc,higher,0.9853204295799372,,0.014679570420062849,,0.014959443130852068,0.9974075029283278,100
