scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.848004929185341,0.00718485565832389,0.848004929185341,0.00718485565832389,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.8538931352669926,0.003688098640935266,0.8538931352669926,0.003688098640935266,,,200
single,mlp,MLP,rmse,lower,0.888506242316538,0.006233579250073829,0.888506242316538,0.006233579250073829,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,0.8322907730249973,0.004594899130930935,0.8322907730249973,0.004594899130930935,,,200
single,lightgbm,LightGBM,rmse,lower,0.8326193485818675,0.002743337095170472,0.8326193485818675,0.002743337095170472,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.8273571382994533,0.002239588254100422,0.8273571382994533,0.002239588254100422,,,200
single,tabm,TabM,rmse,lower,0.8473887693094997,0.0018633602902899129,0.8473887693094997,0.0018633602902899129,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,0.827015104967212,0.0028881501255117958,0.827015104967212,0.0028881501255117958,,,200
single,tabicl,TabICL,rmse,lower,0.8731347255828026,0.005339876235184229,0.8731347255828026,0.005339876235184229,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.8762584381379762,0.004754116607667965,0.8762584381379762,0.004754116607667965,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.842942111717394,,0.842942111717394,,0.8366256748231865,0.6547296679507443,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.8354256156355555,,0.8354256156355555,,0.8986703808915418,0.9290977169016029,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.8459633416386625,,0.8459633416386625,,0.8464689582939109,0.9807558264580623,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.8270159255351338,,0.8270159255351338,,0.8357529229430607,0.977656096330793,100
ensemble,lightgbm,LightGBM,rmse,lower,0.836604870395833,,0.836604870395833,,0.8368324613859787,0.8717044270668541,100
ensemble,mlp,MLP,rmse,lower,0.8591349031328087,,0.8591349031328087,,0.8760945200148741,0.9542031985124224,100
ensemble,realmlp,RealMLP,rmse,lower,0.828415198778703,,0.828415198778703,,0.8387185489235367,0.9821301707629899,100
ensemble,tabm,TabM,rmse,lower,0.8413031380654299,,0.8413031380654299,,0.8400324674808938,0.9957843831234665,100
