scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.9232865531454847,0.007804648729945704,0.9232865531454847,0.007804648729945704,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.9453512839691576,0.015635746633011,0.9453512839691576,0.015635746633011,,,200
single,mlp,MLP,rmse,lower,0.9893361149070327,0.03439414469895254,0.9893361149070327,0.03439414469895254,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,0.9717548705684498,0.01753674935610753,0.9717548705684498,0.01753674935610753,,,200
single,lightgbm,LightGBM,rmse,lower,0.9655745646996092,0.015125041588677113,0.9655745646996092,0.015125041588677113,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.9624706655824411,0.018162291589368565,0.9624706655824411,0.018162291589368565,,,200
single,tabm,TabM,rmse,lower,0.9346464407794074,0.009413611734045525,0.9346464407794074,0.009413611734045525,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,0.9414314047165397,0.007777811006185334,0.9414314047165397,0.007777811006185334,,,200
single,tabicl,TabICL,rmse,lower,0.8951527718065887,0.0013231463738816892,0.8951527718065887,0.0013231463738816892,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.895637683055418,2.892350678824181e-08,0.895637683055418,2.892350678824181e-08,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.9250698008902024,,0.9250698008902024,,0.9791225380182265,0.8348795345520449,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.9204227930087944,,0.9204227930087944,,0.9511654879461088,0.8765277578831094,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.9138561208263188,,0.9138561208263188,,0.939011059634426,0.9197981611718268,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.9388898190586207,,0.9388898190586207,,0.94536419247102,0.9525875779502664,100
ensemble,lightgbm,LightGBM,rmse,lower,0.9621008218390157,,0.9621008218390157,,1.0271678832539692,0.8799601921442525,100
ensemble,mlp,MLP,rmse,lower,0.9459254711116114,,0.9459254711116114,,0.9685022326761754,0.9677903247624752,100
ensemble,realmlp,RealMLP,rmse,lower,0.9098539321233751,,0.9098539321233751,,0.9525730259187768,0.9129281778061242,100
ensemble,tabm,TabM,rmse,lower,0.9356947411611899,,0.9356947411611899,,0.9392356542068229,0.9680382134287974,100
