scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,1.1871906274863704,0.03861809025406124,1.1871906274863704,0.03861809025406124,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,1.1340578929561493,0.018629326220243957,1.1340578929561493,0.018629326220243957,,,200
single,mlp,MLP,rmse,lower,1.2110694673510904,0.08514878179459821,1.2110694673510904,0.08514878179459821,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,1.0652090614351701,0.01877948846790817,1.0652090614351701,0.01877948846790817,,,200
single,lightgbm,LightGBM,rmse,lower,1.6071033609034115,0.03305473680300398,1.6071033609034115,0.03305473680300398,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,1.3727193439477208,0.010974968679213711,1.3727193439477208,0.010974968679213711,,,200
single,tabm,TabM,rmse,lower,1.0746396850169015,0.032733642773404875,1.0746396850169015,0.032733642773404875,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,1.1151650513918483,0.03346046383716022,1.1151650513918483,0.03346046383716022,,,200
single,tabicl,TabICL,rmse,lower,0.9990875648532864,0.01026942093617634,0.9990875648532864,0.01026942093617634,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,1.0005883719561623,0.011910222778580613,1.0005883719561623,0.011910222778580613,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,1.620763621111103,,1.620763621111103,,1.8713959514218323,0.9239840563591759,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,1.0495272493786787,,1.0495272493786787,,1.2694413305903538,0.9872854908809108,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,1.0546355825735514,,1.0546355825735514,,1.1025779591859228,0.9933524894713562,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.9682400797816099,,0.9682400797816099,,1.07029708307339,0.9956821866673943,100
ensemble,lightgbm,LightGBM,rmse,lower,1.6304551469466608,,1.6304551469466608,,1.5508578810650933,0.9772709776010541,100
ensemble,mlp,MLP,rmse,lower,1.0920878761405635,,1.0920878761405635,,1.0719188274037335,0.9918676774731033,100
ensemble,realmlp,RealMLP,rmse,lower,1.0711161527813122,,1.0711161527813122,,1.0425468303667607,0.9949444249852527,100
ensemble,tabm,TabM,rmse,lower,1.0416984193314816,,1.0416984193314816,,1.0542658007176204,0.9973654760604963,100
