scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.7669423620704637,0.0014890835352231334,0.23305763792953627,0.0014890835352231334,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7674621059650317,0.001987844195387277,0.23253789403496827,0.001987844195387277,,,200
single,mlp,MLP,roc_auc,higher,0.772597928974865,0.0005216155218336449,0.227402071025135,0.0005216155218336449,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.7611087129073315,0.0018212520265765558,0.2388912870926685,0.0018212520265765558,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.7714453135944113,0.0016554036172370349,0.22855468640558874,0.0016554036172370349,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7678139557047216,0.0019434059712124562,0.23218604429527845,0.0019434059712124562,,,200
single,tabm,TabM,roc_auc,higher,0.7728482642261362,0.000560900515501078,0.22715173577386383,0.000560900515501078,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.7681799403551945,0.000928616847716319,0.23182005964480545,0.000928616847716319,,,200
single,tabicl,TabICL,roc_auc,higher,0.7194118953635278,0.037015094829500966,0.2805881046364722,0.037015094829500966,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.747383340883129,0.013511087789697902,0.25261665911687103,0.013511087789697902,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7632160279232754,,0.23678397207672464,,0.24840697751138385,0.9757288988474894,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.7726290985203139,,0.22737090147968608,,0.23240676712867336,0.9393675869596636,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7732821544144312,,0.22671784558556884,,0.22958292480045606,0.9939614486784417,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.7724979929250716,,0.2275020070749284,,0.22744410494516998,0.9942698476919393,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.764963406365458,,0.235036593634542,,0.24561265099093843,0.9575216583004722,100
ensemble,mlp,MLP,roc_auc,higher,0.7748634132020438,,0.22513658679795623,,0.22813234538703508,0.9961340323263641,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.7721423327691872,,0.2278576672308128,,0.23108812444154392,0.9947809993184209,100
ensemble,tabm,TabM,roc_auc,higher,0.7740753731011213,,0.2259246268988787,,0.22593775450724485,0.9982540930124206,100
