scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,4.697917817606011,0.09156499249907013,4.697917817606011,0.09156499249907013,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,4.65952294143985,0.05990401957809001,4.65952294143985,0.05990401957809001,,,200
single,mlp,MLP,rmse,lower,4.857363320205275,0.14161193246328996,4.857363320205275,0.14161193246328996,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,4.643525110087494,0.12837580882810004,4.643525110087494,0.12837580882810004,,,200
single,lightgbm,LightGBM,rmse,lower,4.709919641466162,0.04691126748314011,4.709919641466162,0.04691126748314011,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,4.660456556739859,0.11113632015732951,4.660456556739859,0.11113632015732951,,,200
single,tabm,TabM,rmse,lower,5.009830500686604,0.1013531812323986,5.009830500686604,0.1013531812323986,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,4.33192807070958,0.07154344193194336,4.33192807070958,0.07154344193194336,,,200
single,tabicl,TabICL,rmse,lower,3.674405618084809,0.026980549276112323,3.674405618084809,0.026980549276112323,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,3.6682617644988684,0.030729274470709594,3.6682617644988684,0.030729274470709594,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,4.477090873656515,,4.477090873656515,,4.565436856278259,0.9715622512523752,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,4.18059147450666,,4.18059147450666,,4.148318670608706,0.8264237422321825,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,4.486524270917508,,4.486524270917508,,4.983240147939855,0.7068526994924097,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,4.4070585416643056,,4.4070585416643056,,4.729686383994583,0.9781996085527946,100
ensemble,lightgbm,LightGBM,rmse,lower,4.690490440196222,,4.690490440196222,,4.672718859591711,0.9780757865103055,100
ensemble,mlp,MLP,rmse,lower,4.590863811738253,,4.590863811738253,,4.637573608559229,0.9887486244698195,100
ensemble,realmlp,RealMLP,rmse,lower,4.61288286401467,,4.61288286401467,,4.998414681170541,0.9872436174739907,100
ensemble,tabm,TabM,rmse,lower,4.414756319108659,,4.414756319108659,,4.6771279958429615,0.9841057280615765,100
