scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.7904675954692046,0.0010938061491572338,0.20953240453079536,0.0010938061491572338,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7804896456674509,0.0052613471790253575,0.21951035433254906,0.0052613471790253575,,,200
single,mlp,MLP,roc_auc,higher,0.7848946099670193,0.002775626267208741,0.21510539003298068,0.002775626267208741,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.7852359896355284,0.002321331974579198,0.21476401036447157,0.002321331974579198,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.7877792854836408,0.0011615350385510647,0.21222071451635915,0.0011615350385510647,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7890867172351833,0.001870803704712963,0.2109132827648167,0.001870803704712963,,,200
single,tabm,TabM,roc_auc,higher,0.7923427891567776,0.00044673625393207826,0.20765721084322242,0.00044673625393207826,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.7858440447785544,0.0013228842695436336,0.2141559552214456,0.0013228842695436336,,,200
single,tabicl,TabICL,roc_auc,higher,0.7945696854219704,0.00024954919374714496,0.20543031457802963,0.00024954919374714496,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.7907206721798548,0.0013749965302972493,0.20927932782014524,0.0013749965302972493,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7864344900254576,,0.21356550997454238,,0.21297150250164631,0.7923659827097214,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.7891940445308822,,0.21080595546911784,,0.21300833409956987,0.8436934295199437,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.790839189238138,,0.209160810761862,,0.20847886023009388,0.9789814212667776,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.7926616712687298,,0.20733832873127023,,0.21132792509642973,0.9815264940342042,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.7875663723389534,,0.21243362766104656,,0.2128067326187365,0.9305141071016026,100
ensemble,mlp,MLP,roc_auc,higher,0.7888079077469766,,0.21119209225302338,,0.21102015341448943,0.9911890144503498,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.7877716308578785,,0.2122283691421215,,0.21081393709987362,0.9770896300893576,100
ensemble,tabm,TabM,roc_auc,higher,0.7908451682051767,,0.2091548317948233,,0.20949232416728658,0.9983253618516817,100
