scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.9951062708631658,3.849928337555214e-05,0.0048937291368341684,3.849928337555214e-05,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9951797277798952,7.034802650082099e-05,0.004820272220104838,7.034802650082099e-05,,,200
single,mlp,MLP,roc_auc,higher,0.9940755362880551,7.090864035730804e-05,0.005924463711944883,7.090864035730804e-05,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.9948759014955962,7.8466447228593e-05,0.005124098504403762,7.8466447228593e-05,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.9941497857067733,3.9805497352206005e-05,0.005850214293226741,3.9805497352206005e-05,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9943650767209109,2.663647860651049e-05,0.005634923279089099,2.663647860651049e-05,,,200
single,tabm,TabM,roc_auc,higher,0.9951774524859421,6.463896318723258e-05,0.004822547514057862,6.463896318723258e-05,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.9953519153279362,5.278551270442999e-05,0.00464808467206379,5.278551270442999e-05,,,200
single,tabicl,TabICL,roc_auc,higher,0.9947548001431289,2.8980205485045836e-05,0.005245199856871108,2.8980205485045836e-05,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.994763334128405,4.4573247942580775e-05,0.005236665871594992,4.4573247942580775e-05,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9942548206802786,,0.005745179319721405,,0.005749310508196603,0.9913962959006322,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.994623395475251,,0.0053766045247489735,,0.006193665748734034,0.9738757495402647,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9951687704942264,,0.004831229505773638,,0.005044180051444469,0.9907067097912347,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.9952660779093957,,0.004733922090604303,,0.004855650568320602,0.458526264819576,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.9941813701518,,0.00581862984820003,,0.005804844146548915,0.8320522831332545,100
ensemble,mlp,MLP,roc_auc,higher,0.9945638146287992,,0.00543618537120083,,0.005857489075316025,0.9857515950742275,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.9950721844489498,,0.004927815551050152,,0.0052146096102905215,0.9926957295399089,100
ensemble,tabm,TabM,roc_auc,higher,0.9951876122451553,,0.004812387754844716,,0.004883814140937748,0.9965963123034757,100
