scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.8001918786256135,0.020146119576214195,0.19980812137438653,0.020146119576214195,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8250602409638556,0.01144070125250602,0.17493975903614445,0.01144070125250602,,,200
single,mlp,MLP,roc_auc,higher,0.8109638554216868,0.008007704946641171,0.1890361445783132,0.008007704946641171,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8212918340026774,0.01660883518455145,0.17870816599732264,0.01660883518455145,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8031481481481481,0.01221662882008283,0.19685185185185194,0.01221662882008283,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.799199018295404,0.015375220058202889,0.20080098170459604,0.015375220058202889,,,200
single,tabm,TabM,roc_auc,higher,0.7948103525211959,0.008441376402150756,0.20518964747880408,0.008441376402150756,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8309236947791164,0.0040810596635094155,0.16907630522088357,0.0040810596635094155,,,200
single,tabicl,TabICL,roc_auc,higher,0.8448728246318609,0.0003607013008114578,0.15512717536813914,0.0003607013008114578,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8432887103971439,0.0010155419540823166,0.15671128960285607,0.0010155419540823166,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7922690763052209,,0.20773092369477908,,0.27172021419009373,0.9998459554965624,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8352744310575636,,0.1647255689424364,,0.1598393574297189,0.5845411236676026,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8281124497991967,,0.17188755020080326,,0.165528781793842,0.9191694252869285,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.8248326639892904,,0.17516733601070955,,0.1741633199464525,0.7427315138598709,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.819912985274431,,0.18008701472556898,,0.20026773761713523,0.9987178259066575,100
ensemble,mlp,MLP,roc_auc,higher,0.8255020080321286,,0.1744979919678714,,0.1824631860776439,0.7833656201454408,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8435742971887551,,0.1564257028112449,,0.15917001338688086,0.9195762782548336,100
ensemble,tabm,TabM,roc_auc,higher,0.7581659973226238,,0.2418340026773762,,0.2421686746987951,0.9855122970840792,100
