scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,4261.794073616426,44.058378937216986,4261.794073616426,44.058378937216986,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,4188.864161572786,54.5267752985733,4188.864161572786,54.5267752985733,,,200
single,mlp,MLP,rmse,lower,4315.395301874683,61.06326138724564,4315.395301874683,61.06326138724564,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,4343.15202054261,58.53540059914163,4343.15202054261,58.53540059914163,,,200
single,lightgbm,LightGBM,rmse,lower,4271.072394506097,25.167456922524714,4271.072394506097,25.167456922524714,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,4316.385924994356,106.99538857952304,4316.385924994356,106.99538857952304,,,200
single,tabm,TabM,rmse,lower,4111.746560538753,8.529667699495349,4111.746560538753,8.529667699495349,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,4194.177718488069,42.82288023414931,4194.177718488069,42.82288023414931,,,200
single,tabicl,TabICL,rmse,lower,4051.1852403169096,4.591510835742021,4051.1852403169096,4.591510835742021,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,4088.7407257113437,32.79549627826227,4088.7407257113437,32.79549627826227,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,4342.07622224246,,4342.07622224246,,4332.348812454647,0.9642965911550361,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,4273.443071647669,,4273.443071647669,,4601.819060439381,0.9881077638944289,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,4122.390391573799,,4122.390391573799,,4145.116140765509,0.9932070690310015,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,4223.906147049433,,4223.906147049433,,4281.2627851601665,0.9924457608778946,100
ensemble,lightgbm,LightGBM,rmse,lower,4289.999016651756,,4289.999016651756,,4238.385590743064,0.9904151496653104,100
ensemble,mlp,MLP,rmse,lower,4242.832688442584,,4242.832688442584,,4421.14566287703,0.9920962401397843,100
ensemble,realmlp,RealMLP,rmse,lower,4156.094066021433,,4156.094066021433,,4150.919516618874,0.993530024440075,100
ensemble,tabm,TabM,rmse,lower,4115.661972970663,,4115.661972970663,,4154.020971948075,0.9948088385207114,100
