scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.7976862539579996,0.00020767369918289432,0.20231374604200036,0.00020767369918289432,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7941867121081277,0.0017971172219633394,0.20581328789187225,0.0017971172219633394,,,200
single,mlp,MLP,roc_auc,higher,0.7952612444544058,0.0007405948765938768,0.20473875554559418,0.0007405948765938768,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.7952250978375753,0.0005633207577068546,0.20477490216242467,0.0005633207577068546,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.7906056920484035,0.0018610688781677798,0.20939430795159653,0.0018610688781677798,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7958432049853764,0.000664093561717114,0.20415679501462358,0.000664093561717114,,,200
single,tabm,TabM,roc_auc,higher,0.7961845213374908,0.0005880339256396341,0.20381547866250915,0.0005880339256396341,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.7975180568281947,0.0005640094002660914,0.20248194317180535,0.0005640094002660914,,,200
single,tabicl,TabICL,roc_auc,higher,0.8004724659463712,0.0007218828656315583,0.19952753405362877,0.0007218828656315583,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8010150387504916,0.00042211834472030663,0.19898496124950837,0.00042211834472030663,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7942909220353731,,0.2057090779646269,,0.20556471123357745,0.03563582116846995,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.7982811130081676,,0.20171888699183238,,0.20473114168375117,0.39404971950030254,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7988928587908792,,0.20110714120912077,,0.20170438439784566,0.9502686316947209,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.7982339795777109,,0.20176602042228908,,0.2033748195415861,0.5256010934388139,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.7947339103607851,,0.2052660896392149,,0.20660230591244388,0.7428021838374756,100
ensemble,mlp,MLP,roc_auc,higher,0.7956956960256301,,0.20430430397436994,,0.20546385228448816,0.9736264255074356,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.7998236616412981,,0.20017633835870186,,0.20230195719097943,0.9541205875062743,100
ensemble,tabm,TabM,roc_auc,higher,0.7965988121057107,,0.2034011878942893,,0.20304389671516243,0.9923658390959741,100
