scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.8442352034499032,0.0015474883296484744,0.15576479655009678,0.0015474883296484744,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8418837831805666,0.00198857931167033,0.15811621681943344,0.00198857931167033,,,200
single,mlp,MLP,roc_auc,higher,0.8244837505838222,0.0030794749294342214,0.17551624941617783,0.0030794749294342214,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8287730275320858,0.0025824169352420207,0.17122697246791418,0.0025824169352420207,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8440178740841288,0.0006704772240514248,0.15598212591587124,0.0006704772240514248,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8475642219716649,0.000563864117579989,0.15243577802833508,0.000563864117579989,,,200
single,tabm,TabM,roc_auc,higher,0.8523404964070604,0.0018305397914593253,0.14765950359293956,0.0018305397914593253,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8531543051420147,0.001543217872931021,0.14684569485798527,0.001543217872931021,,,200
single,tabicl,TabICL,roc_auc,higher,0.8497275496005682,0.0029120981198601857,0.15027245039943182,0.0029120981198601857,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8496293412660186,0.000197750169130065,0.15037065873398137,0.000197750169130065,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8393464748080683,,0.16065352519193166,,0.1613240085967831,-0.31910252713157733,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8430633246489768,,0.15693667535102318,,0.16867834493680134,0.7434892339171131,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8517459707140147,,0.1482540292859853,,0.15555374631462182,0.885182137127674,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.8511957866275507,,0.1488042133724493,,0.14844069277811844,0.5300615456167074,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.8402361196251861,,0.15976388037481393,,0.1581289499226436,0.6097268265938878,100
ensemble,mlp,MLP,roc_auc,higher,0.8350743096301485,,0.1649256903698515,,0.1782610123478413,0.7938749539250011,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8493464839302917,,0.15065351606970834,,0.1578948508698952,0.9268456780248764,100
ensemble,tabm,TabM,roc_auc,higher,0.8553851676299734,,0.1446148323700266,,0.1467715539889658,0.9053533996337649,100
