scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.8176000896770597,0.0028392588610540357,0.18239991032294034,0.0028392588610540357,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.7674482488634392,0.053824853463789846,0.2325517511365608,0.053824853463789846,,,200
single,mlp,MLP,roc_auc,higher,0.814647705590487,0.0036493404577497657,0.18535229440951295,0.0036493404577497657,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8090328658196709,0.002578583913857403,0.19096713418032907,0.002578583913857403,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.8086423043987695,0.0030266041305265093,0.1913576956012305,0.0030266041305265093,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8125597795644629,0.0040828884106216224,0.1874402204355371,0.0040828884106216224,,,200
single,tabm,TabM,roc_auc,higher,0.813285073637344,0.002586704411086244,0.18671492636265596,0.002586704411086244,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8154232064759454,0.0030155625173635355,0.18457679352405465,0.0030155625173635355,,,200
single,tabicl,TabICL,roc_auc,higher,0.8117905793837376,0.0012623050104971318,0.18820942061626245,0.0012623050104971318,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8108556754677709,0.0013383656476316991,0.18914432453222907,0.0013383656476316991,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.7152211382816147,,0.2847788617183853,,0.2847788617183853,0.014917549218602163,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8094915763211427,,0.19050842367885734,,0.19121884699160185,0.7703211285907535,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8201845372889968,,0.17981546271100324,,0.1844895709281782,0.9955218102551746,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.8165762697222684,,0.18342373027773162,,0.18047837363658992,0.9947439565915829,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.7950545981089658,,0.20494540189103416,,0.18828243748830187,0.9990648261939817,100
ensemble,mlp,MLP,roc_auc,higher,0.8160332710118904,,0.18396672898810962,,0.18481516447307522,0.9993991282248056,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.8128787364584554,,0.18712126354154457,,0.19594910621178185,0.9995639436439999,100
ensemble,tabm,TabM,roc_auc,higher,0.8148425817943228,,0.18515741820567722,,0.18416017227868176,0.999580135422204,100
