scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,84008.50475436237,1723.6740226257482,84008.50475436237,1723.6740226257482,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,83701.41541706116,670.6805353941526,83701.41541706116,670.6805353941526,,,200
single,mlp,MLP,rmse,lower,88228.98714354676,985.1956948716971,88228.98714354676,985.1956948716971,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,86731.79146753588,1253.3019981373193,86731.79146753588,1253.3019981373193,,,200
single,lightgbm,LightGBM,rmse,lower,91025.72216822045,869.460994297229,91025.72216822045,869.460994297229,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,90187.75240516914,621.1128485030607,90187.75240516914,621.1128485030607,,,200
single,tabm,TabM,rmse,lower,82867.54625782318,377.81425004281556,82867.54625782318,377.81425004281556,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,83487.87009265249,1301.6369920411069,83487.87009265249,1301.6369920411069,,,200
single,tabicl,TabICL,rmse,lower,79679.9893144874,339.9582962288045,79679.9893144874,339.9582962288045,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,79111.32064988396,163.40042200319692,79111.32064988396,163.40042200319692,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,90016.98977704755,,90016.98977704755,,89334.63941208788,0.9310855814533928,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,83634.3212446811,,83634.3212446811,,87703.99252374795,0.9783251116649,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,80781.50134578878,,80781.50134578878,,84177.05258283335,0.9895958634338715,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,81855.14132683135,,81855.14132683135,,83432.66410037447,0.9876198351316898,100
ensemble,lightgbm,LightGBM,rmse,lower,90131.08453273257,,90131.08453273257,,88093.5602041036,0.9757725859830851,100
ensemble,mlp,MLP,rmse,lower,85496.11453833395,,85496.11453833395,,89287.93083785247,0.9872367406832327,100
ensemble,realmlp,RealMLP,rmse,lower,83396.59559247721,,83396.59559247721,,83320.84013764828,0.9929769984431537,100
ensemble,tabm,TabM,rmse,lower,85352.1102299013,,85352.1102299013,,88031.56243401744,0.9891508645441895,100
