scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.9297652281277269,0.0013545285337889464,0.07023477187227312,0.0013545285337889464,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.928378858703589,0.0007837678166656739,0.07162114129641095,0.0007837678166656739,,,200
single,mlp,MLP,roc_auc,higher,0.9245351964699734,0.0015252935912377045,0.0754648035300266,0.0015252935912377045,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.9259248246030108,0.0009879541340638057,0.07407517539698916,0.0009879541340638057,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.9248431444609794,0.0023535442238398906,0.07515685553902063,0.0023535442238398906,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9266977420768114,0.00035737238272127666,0.07330225792318856,0.00035737238272127666,,,200
single,tabm,TabM,roc_auc,higher,0.9278451847748295,0.001208849038225324,0.07215481522517053,0.001208849038225324,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.9268910770515685,0.0005056272805337292,0.07310892294843152,0.0005056272805337292,,,200
single,tabicl,TabICL,roc_auc,higher,0.9324548849856797,0.0011735005462793439,0.06754511501432026,0.0011735005462793439,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.9300437270457148,0.001567703715232644,0.06995627295428519,0.001567703715232644,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9237249396233655,,0.07627506037663445,,0.07371923688279147,0.8689408642526859,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.9210835750209101,,0.0789164249790899,,0.07307111589055082,0.7244499620569185,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9296906399018043,,0.07030936009819566,,0.07184502666710124,0.9773488556782651,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.9276811027470916,,0.07231889725290841,,0.07152232396635572,0.9287528608151435,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.9243146754144898,,0.07568532458551025,,0.07411390273840168,0.9139030546035102,100
ensemble,mlp,MLP,roc_auc,higher,0.9268103033133828,,0.07318969668661723,,0.07460044608104044,0.99165149346931,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.9279010655978103,,0.07209893440218973,,0.07794514868764546,0.9855970757761019,100
ensemble,tabm,TabM,roc_auc,higher,0.9286881343167392,,0.07131186568326076,,0.07167666004062512,0.9969826297419279,100
