scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,3.2987679589547936,0.013438539764259351,3.2987679589547936,0.013438539764259351,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,3.271111546210492,0.011229393303064505,3.271111546210492,0.011229393303064505,,,200
single,mlp,MLP,rmse,lower,3.5443040527268708,0.015511842339145408,3.5443040527268708,0.015511842339145408,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,3.602573171614055,0.01388306362847683,3.602573171614055,0.01388306362847683,,,200
single,lightgbm,LightGBM,rmse,lower,3.5026761073706174,0.002221939177603991,3.5026761073706174,0.002221939177603991,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,3.2991135190453025,0.00440906432143609,3.2991135190453025,0.00440906432143609,,,200
single,tabm,TabM,rmse,lower,3.360929782204986,0.025476330571956675,3.360929782204986,0.025476330571956675,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,3.344371879275482,0.013797717635106193,3.344371879275482,0.013797717635106193,,,200
single,tabicl,TabICL,rmse,lower,3.0133107512637363,0.006556666990041569,3.0133107512637363,0.006556666990041569,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,3.007543902473729,0.003978167434745804,3.007543902473729,0.003978167434745804,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,3.334547852520341,,3.334547852520341,,3.4488973346705847,0.9460337611726297,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,3.304034391820726,,3.304034391820726,,3.4991412764247736,0.8976155520875103,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,3.177212445523772,,3.177212445523772,,3.2847318560661023,0.9396065384891843,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,3.2782701484255115,,3.2782701484255115,,3.36221793220606,0.9500790174635837,100
ensemble,lightgbm,LightGBM,rmse,lower,3.7260357060947786,,3.7260357060947786,,3.747158275844613,0.8461392261815757,100
ensemble,mlp,MLP,rmse,lower,3.382788500040063,,3.382788500040063,,3.559924029932459,0.9097925570701484,100
ensemble,realmlp,RealMLP,rmse,lower,3.1742442340754646,,3.1742442340754646,,3.2926316686252415,0.9420520865090098,100
ensemble,tabm,TabM,rmse,lower,3.3422197643655185,,3.3422197643655185,,3.428704144398887,0.9687941355383722,100
