scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.9307377531165137,0.00902125650832179,0.06926224688348626,0.00902125650832179,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9542706395535314,0.004178099506984756,0.04572936044646858,0.004178099506984756,,,200
single,mlp,MLP,roc_auc,higher,0.9227513524493767,0.006042792367922899,0.07724864755062333,0.006042792367922899,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.9309307310710543,0.006844389381204213,0.06906926892894572,0.006844389381204213,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.9580141980456305,0.002714185325230242,0.04198580195436952,0.002714185325230242,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9619352321081104,0.001776445018748116,0.03806476789188962,0.001776445018748116,,,200
single,tabm,TabM,roc_auc,higher,0.958760183462698,0.0023759315198101207,0.04123981653730202,0.0023759315198101207,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.9236915185921697,0.005545058655183462,0.07630848140783031,0.005545058655183462,,,200
single,tabicl,TabICL,roc_auc,higher,0.9838601471122802,0.0007393938930189462,0.016139852887719797,0.0007393938930189462,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.9857615947142216,0.0007279385374844039,0.014238405285778355,0.0007279385374844039,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.962569760728719,,0.037430239271280974,,0.037049361729424635,0.9584572505269084,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.9660658156392329,,0.03393418436076712,,0.055748444415934406,0.9235456306113793,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9636963564051575,,0.036303643594842505,,0.07107174931041116,0.9740059482848112,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.9526228430303418,,0.04737715696965816,,0.04112274680864714,0.7010934124575865,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.9561108794662904,,0.043889120533709636,,0.04178828019757508,0.9402240222872952,100
ensemble,mlp,MLP,roc_auc,higher,0.93699483610238,,0.06300516389762001,,0.06522628135223552,0.970046659827914,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.9689925588556033,,0.031007441144396686,,0.0595812752581949,0.9745330520476277,100
ensemble,tabm,TabM,roc_auc,higher,0.9620525691192509,,0.037947430880749144,,0.04336190583103472,0.9789683157302231,100
