scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.9127469013356414,0.00500450710898643,0.0872530986643586,0.00500450710898643,,,200
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9272970990971496,0.00261473145278713,0.07270290090285036,0.00261473145278713,,,200
single,mlp,MLP,roc_auc,higher,0.9140885538764861,0.0036915603303184622,0.08591144612351387,0.0036915603303184622,,,200
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.9175845445474327,0.013901837320064486,0.08241545545256734,0.013901837320064486,,,200
single,lightgbm,LightGBM,roc_auc,higher,0.9057260672509347,0.008365799962731109,0.09427393274906526,0.008365799962731109,,,200
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.9079164713095538,0.008907093747873757,0.09208352869044623,0.008907093747873757,,,200
single,tabm,TabM,roc_auc,higher,0.9303230304997534,0.0018551806318666151,0.0696769695002466,0.0018551806318666151,,,200
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.9268943628953726,0.003668787263144912,0.07310563710462736,0.003668787263144912,,,200
single,tabicl,TabICL,roc_auc,higher,0.9372260492179705,0.0007186527802828692,0.06277395078202952,0.0007186527802828692,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.9336290739471754,0.0008754904582932217,0.06637092605282457,0.0008754904582932217,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.905254805784975,,0.09474519421502503,,0.09297796371767586,0.7449962071356906,100
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.9317632632452123,,0.0682367367547877,,0.07725321888412018,0.8487746948077921,100
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.9315468676741082,,0.06845313232589179,,0.09099433764922271,0.9103734790301876,100
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.937209218451329,,0.06279078154867102,,0.06246618819201488,0.749122224445769,100
ensemble,lightgbm,LightGBM,roc_auc,higher,0.9189598586215602,,0.08104014137843984,,0.08104014137843984,0.46279474789617553,100
ensemble,mlp,MLP,roc_auc,higher,0.9254517257546796,,0.0745482742453204,,0.07930897680960802,0.900405868112909,100
ensemble,realmlp,RealMLP,roc_auc,higher,0.9258484509683701,,0.0741515490316299,,0.07862372416777874,0.9234426565591782,100
ensemble,tabm,TabM,roc_auc,higher,0.9298517690337939,,0.07014823096620615,,0.08049915245067985,0.9760451888321872,100
