scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,log_loss,lower,0.10274382960027825,0.004590559014798947,0.10274382960027825,0.004590559014798947,,,200
single,agentic-realmlp,RealMLP (agentic),log_loss,lower,0.10823817433733221,0.05003943812361152,0.10823817433733221,0.05003943812361152,,,200
single,mlp,MLP,log_loss,lower,0.11485724697975296,0.0019028755118606266,0.11485724697975296,0.0019028755118606266,,,200
single,agentic-mlp,MLP (agentic),log_loss,lower,0.09329033036161088,0.004747820923305772,0.09329033036161088,0.004747820923305772,,,200
single,lightgbm,LightGBM,log_loss,lower,0.10272161083814421,0.00421700669307354,0.10272161083814421,0.00421700669307354,,,200
single,agentic-lightgbm,LightGBM (agentic),log_loss,lower,0.09034171395989314,0.004235030689152835,0.09034171395989314,0.004235030689152835,,,200
single,tabm,TabM,log_loss,lower,0.09576146550959606,0.0011081379034933979,0.09576146550959606,0.0011081379034933979,,,200
single,agentic-tabm,TabM (agentic),log_loss,lower,0.10151999868854975,0.0040584120866044016,0.10151999868854975,0.0040584120866044016,,,200
single,tabicl,TabICL,log_loss,lower,0.07345514471888206,0.000987809940358305,0.07345514471888206,0.000987809940358305,,,grid
single,agentic-tabicl,TabICL (agentic),log_loss,lower,0.07313705855790362,0.0005793068519929612,0.07313705855790362,0.0005793068519929612,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),log_loss,lower,0.08796639397070476,,0.08796639397070476,,0.09520100224496067,0.9893749332678273,100
ensemble,agentic-mlp,MLP (agentic),log_loss,lower,0.09581844404855958,,0.09581844404855958,,0.1122166833985624,0.95810767739778,100
ensemble,agentic-realmlp,RealMLP (agentic),log_loss,lower,0.08957426261248393,,0.08957426261248393,,0.0986512486358365,0.9878622622492065,100
ensemble,agentic-tabm,TabM (agentic),log_loss,lower,0.08592929443169074,,0.08592929443169074,,0.0838299875974669,0.9910099715429839,100
ensemble,lightgbm,LightGBM,log_loss,lower,0.09862666031154067,,0.09862666031154067,,0.10076821018628802,0.9851474341369988,100
ensemble,mlp,MLP,log_loss,lower,0.11686157977510048,,0.11686157977510048,,0.11937386849601167,0.9592067564503145,100
ensemble,realmlp,RealMLP,log_loss,lower,0.09563231306091224,,0.09563231306091224,,0.10101996945322006,0.9908745284188877,100
ensemble,tabm,TabM,log_loss,lower,0.10281710715520338,,0.10281710715520338,,0.09202279191347491,0.9977757069607479,100
