scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.6052918207550916,0.0029996957788299113,0.6052918207550916,0.0029996957788299113,,,200
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.6089456266955918,0.002781873221330314,0.6089456266955918,0.002781873221330314,,,200
single,mlp,MLP,rmse,lower,0.6746404008927277,0.004263296340483865,0.6746404008927277,0.004263296340483865,,,200
single,agentic-mlp,MLP (agentic),rmse,lower,0.6524342129317318,0.005943294604583713,0.6524342129317318,0.005943294604583713,,,200
single,lightgbm,LightGBM,rmse,lower,0.6150767379630652,0.0012532334835898985,0.6150767379630652,0.0012532334835898985,,,200
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.6085575988342045,0.001957925619544751,0.6085575988342045,0.001957925619544751,,,200
single,tabm,TabM,rmse,lower,0.6377629592995606,0.007236002604141551,0.6377629592995606,0.007236002604141551,,,200
single,agentic-tabm,TabM (agentic),rmse,lower,0.6200053505528182,0.0024708217514242455,0.6200053505528182,0.0024708217514242455,,,200
single,tabicl,TabICL,rmse,lower,0.5864119346348534,0.0006440491389124646,0.5864119346348534,0.0006440491389124646,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.5863017527789735,0.00046576678213962233,0.5863017527789735,0.00046576678213962233,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.6204951992128435,,0.6204951992128435,,0.6466458208105136,0.7280879115956452,100
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.6123699355291324,,0.6123699355291324,,0.6675780852629797,0.7219536608419864,100
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.5995901387815932,,0.5995901387815932,,0.6145901242575734,0.9046828969179234,100
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.6011422096153192,,0.6011422096153192,,0.6221961687283111,0.8380214472915761,100
ensemble,lightgbm,LightGBM,rmse,lower,0.6222529049527582,,0.6222529049527582,,0.6137229293014989,0.8521503900452646,100
ensemble,mlp,MLP,rmse,lower,0.6436620785988619,,0.6436620785988619,,0.6629215099856467,0.9033740427660162,100
ensemble,realmlp,RealMLP,rmse,lower,0.5968600060892857,,0.5968600060892857,,0.6187110360438789,0.8951161709721889,100
ensemble,tabm,TabM,rmse,lower,0.6152400091473978,,0.6152400091473978,,0.6408697261372396,0.8898556731708095,100
