scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.48131381347650604,0.0005537115873683134,0.48131381347650604,0.0005537115873683134,,,100
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.48035165842508465,0.00028923056970023465,0.48035165842508465,0.00028923056970023465,,,100
single,mlp,MLP,rmse,lower,0.48083656988617224,0.00040542148821876527,0.48083656988617224,0.00040542148821876527,,,100
single,agentic-mlp,MLP (agentic),rmse,lower,0.48119272202629565,0.000246212274358105,0.48119272202629565,0.000246212274358105,,,100
single,lightgbm,LightGBM,rmse,lower,0.48248296724068657,9.349923485500599e-05,0.48248296724068657,9.349923485500599e-05,,,100
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.48235009683202895,8.275755134730274e-05,0.48235009683202895,8.275755134730274e-05,,,100
single,tabm,TabM,rmse,lower,0.48028616863670553,0.0003695455933692407,0.48028616863670553,0.0003695455933692407,,,100
single,agentic-tabm,TabM (agentic),rmse,lower,0.48021965649397463,0.0003298443552495821,0.48021965649397463,0.0003298443552495821,,,100
single,tabicl,TabICL,rmse,lower,0.4895365688607323,0.0005594579919536755,0.4895365688607323,0.0005594579919536755,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.48828274654922654,0.0005895124046417572,0.48828274654922654,0.0005895124046417572,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.4825922427249498,,0.4825922427249498,,0.48281060534722553,0.9946035252153732,20
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.4803078936718792,,0.4803078936718792,,0.4834405115990302,0.9858114007821661,20
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.48047772302321357,,0.48047772302321357,,0.4814108003530631,0.9869300202070376,20
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.4798590809372985,,0.4798590809372985,,0.479816436062423,0.9961012900995394,20
ensemble,lightgbm,LightGBM,rmse,lower,0.48193932202012696,,0.48193932202012696,,0.482259434066474,0.990035917237004,20
ensemble,mlp,MLP,rmse,lower,0.47999077195462225,,0.47999077195462225,,0.48093165322752995,0.9911165673597987,20
ensemble,realmlp,RealMLP,rmse,lower,0.4802447277489425,,0.4802447277489425,,0.4811882312845133,0.9932937641431981,20
ensemble,tabm,TabM,rmse,lower,0.47987067326107,,0.47987067326107,,0.48010865728014096,0.9977142594296028,20
