scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.547597628053071,0.000960867311625285,0.547597628053071,0.000960867311625285,,,100
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.5470805925669692,0.0010189024325650325,0.5470805925669692,0.0010189024325650325,,,100
single,mlp,MLP,rmse,lower,0.5528911100966802,0.0016396410453525865,0.5528911100966802,0.0016396410453525865,,,100
single,agentic-mlp,MLP (agentic),rmse,lower,0.5533631579521913,0.0019717373607602033,0.5533631579521913,0.0019717373607602033,,,100
single,lightgbm,LightGBM,rmse,lower,0.5469409933013974,0.000156562462406096,0.5469409933013974,0.000156562462406096,,,100
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.5465444959487978,0.00010256486623316264,0.5465444959487978,0.00010256486623316264,,,100
single,tabm,TabM,rmse,lower,0.5501271498649364,0.0016730549763559089,0.5501271498649364,0.0016730549763559089,,,100
single,agentic-tabm,TabM (agentic),rmse,lower,0.5494903246545044,0.0009209150542244405,0.5494903246545044,0.0009209150542244405,,,100
single,tabicl,TabICL,rmse,lower,0.5583014932629402,0.0006122133830186607,0.5583014932629402,0.0006122133830186607,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.5581206687473422,0.00047469153309186987,0.5581206687473422,0.00047469153309186987,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.5510502261657902,,0.5510502261657902,,0.5535752346895674,0.9486162905604153,20
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.550247936255208,,0.550247936255208,,0.5532279878154377,0.981356247434377,20
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.545444976043503,,0.545444976043503,,0.5472250005815456,0.9887434032998037,20
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.5465218084693252,,0.5465218084693252,,0.5480787649679139,0.9876997061824614,20
ensemble,lightgbm,LightGBM,rmse,lower,0.5463884323881497,,0.5463884323881497,,0.5464276380113751,0.9921446632126848,20
ensemble,mlp,MLP,rmse,lower,0.5507945041799377,,0.5507945041799377,,0.5527047951300931,0.9904042769689693,20
ensemble,realmlp,RealMLP,rmse,lower,0.5465183507896868,,0.5465183507896868,,0.5476889387314882,0.9902067750454419,20
ensemble,tabm,TabM,rmse,lower,0.5475928041174183,,0.5475928041174183,,0.5480041793015332,0.994980321875448,20
