scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.5934576421190024,0.0020249991973002733,0.4065423578809976,0.0020249991973002733,,,100
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.5811573305581175,0.017431815204901814,0.41884266944188253,0.017431815204901814,,,100
single,mlp,MLP,roc_auc,higher,0.5966655160573497,0.0018063807304206437,0.40333448394265026,0.0018063807304206437,,,100
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.6048389368259157,0.0013755996043466124,0.3951610631740843,0.0013755996043466124,,,100
single,lightgbm,LightGBM,roc_auc,higher,0.5737748784808901,0.003258914424511845,0.42622512151910985,0.003258914424511845,,,100
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.5769996528459361,0.005654969144002619,0.42300034715406387,0.005654969144002619,,,100
single,tabm,TabM,roc_auc,higher,0.5880375843586791,0.0014622793832307582,0.41196241564132086,0.0014622793832307582,,,100
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.6009706928169475,0.0013669290266322828,0.3990293071830525,0.0013669290266322828,,,100
single,tabicl,TabICL,roc_auc,higher,0.5837189916068543,0.011838906960694983,0.41628100839314575,0.011838906960694983,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.5992442752795557,0.0029768754984830646,0.4007557247204443,0.0029768754984830646,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.5848255011210011,,0.41517449887899893,,0.415671670833627,0.9998842671297241,20
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.5994351100047927,,0.40056488999520734,,0.40056488999520734,,20
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.5931556210176574,,0.4068443789823426,,0.41590314303676035,0.8661541011133908,20
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.5993434367096832,,0.40065656329031685,,0.4048879133491753,0.9832910510705742,20
ensemble,lightgbm,LightGBM,roc_auc,higher,0.5830280790619607,,0.41697192093803925,,0.4224396129405139,0.9382142148810398,20
ensemble,mlp,MLP,roc_auc,higher,0.5963495908991259,,0.40365040910087413,,0.40365040910087413,,20
ensemble,realmlp,RealMLP,roc_auc,higher,0.5945046476256074,,0.4054953523743926,,0.4068848457822529,0.9909907892585492,20
ensemble,tabm,TabM,roc_auc,higher,0.5857433157903226,,0.41425668420967743,,0.41425668420967743,,20
