scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,roc_auc,higher,0.862987812821555,0.0012977068349670463,0.137012187178445,0.0012977068349670463,,,100
single,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8625954839720111,0.0005146131982725247,0.13740451602798887,0.0005146131982725247,,,100
single,mlp,MLP,roc_auc,higher,0.8587498886574522,0.0013650104115621295,0.14125011134254783,0.0013650104115621295,,,100
single,agentic-mlp,MLP (agentic),roc_auc,higher,0.8584209436020703,0.0010275726018419396,0.14157905639792967,0.0010275726018419396,,,100
single,lightgbm,LightGBM,roc_auc,higher,0.8679008115324277,0.000332842516041583,0.1320991884675723,0.000332842516041583,,,100
single,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8675661658970586,0.00031442562660250373,0.1324338341029414,0.00031442562660250373,,,100
single,tabm,TabM,roc_auc,higher,0.8643842726900762,0.0007139448359530697,0.13561572730992377,0.0007139448359530697,,,100
single,agentic-tabm,TabM (agentic),roc_auc,higher,0.8635309213185073,0.00046112858443204756,0.13646907868149272,0.00046112858443204756,,,100
single,tabicl,TabICL,roc_auc,higher,0.8099255565260538,0.0019443665645403811,0.1900744434739462,0.0019443665645403811,,,grid
single,agentic-tabicl,TabICL (agentic),roc_auc,higher,0.8089963238587833,0.0016057712073669138,0.19100367614121672,0.0016057712073669138,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),roc_auc,higher,0.8561495581030427,,0.14385044189695728,,0.1435992935163073,0.9817193182314113,20
ensemble,agentic-mlp,MLP (agentic),roc_auc,higher,0.8640969499896516,,0.13590305001034841,,0.1426285261419824,0.9970247184359771,20
ensemble,agentic-realmlp,RealMLP (agentic),roc_auc,higher,0.8647376561595945,,0.13526234384040547,,0.1373060478182001,0.9917919365507303,20
ensemble,agentic-tabm,TabM (agentic),roc_auc,higher,0.8651905878393318,,0.13480941216066822,,0.14056303646087398,0.9973690990199368,20
ensemble,lightgbm,LightGBM,roc_auc,higher,0.867859897293296,,0.13214010270670395,,0.13257814909853094,0.9973685696765713,20
ensemble,mlp,MLP,roc_auc,higher,0.8619269661816362,,0.13807303381836378,,0.1400227019952881,0.9992224473986483,20
ensemble,realmlp,RealMLP,roc_auc,higher,0.8633972671799842,,0.13660273282001578,,0.13980108650123046,0.9978761897095472,20
ensemble,tabm,TabM,roc_auc,higher,0.8647230234164892,,0.1352769765835108,,0.13651521118955334,0.9990164381717239,20
