scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.1611719580716457,0.00020700128766745293,0.1611719580716457,0.00020700128766745293,,,100
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.16088511251712478,0.00015207379545774892,0.16088511251712478,0.00015207379545774892,,,100
single,mlp,MLP,rmse,lower,0.1617580105826493,0.00017661868517681984,0.1617580105826493,0.00017661868517681984,,,100
single,agentic-mlp,MLP (agentic),rmse,lower,0.16207281176484986,0.00020032427061567263,0.16207281176484986,0.00020032427061567263,,,100
single,lightgbm,LightGBM,rmse,lower,0.16165307023673936,3.875527158485522e-05,0.16165307023673936,3.875527158485522e-05,,,100
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.1616574002246156,4.074094036792523e-05,0.1616574002246156,4.074094036792523e-05,,,100
single,tabm,TabM,rmse,lower,0.16099649744930994,0.00012492036940133617,0.16099649744930994,0.00012492036940133617,,,100
single,agentic-tabm,TabM (agentic),rmse,lower,0.16100776185903423,8.316148218181943e-05,0.16100776185903423,8.316148218181943e-05,,,100
single,tabicl,TabICL,rmse,lower,0.16886308017662544,0.00026398336357576197,0.16886308017662544,0.00026398336357576197,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.16897080825482366,0.00016087568782975942,0.16897080825482366,0.00016087568782975942,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.16178323396242533,,0.16178323396242533,,0.16186795866643405,0.9962789953051008,20
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.16110194753741805,,0.16110194753741805,,0.1627696479869816,0.9923085028499445,20
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.16064648556236039,,0.16064648556236039,,0.16104468885343573,0.9961346204010201,20
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.16104951776011212,,0.16104951776011212,,0.1614922223661715,0.9923570332977366,20
ensemble,lightgbm,LightGBM,rmse,lower,0.16161878026989865,,0.16161878026989865,,0.16195851745375844,0.9975643100486739,20
ensemble,mlp,MLP,rmse,lower,0.1611426488799441,,0.1611426488799441,,0.16200127297494238,0.9955460645321649,20
ensemble,realmlp,RealMLP,rmse,lower,0.16102810458922545,,0.16102810458922545,,0.1613121384173499,0.997821366234643,20
ensemble,tabm,TabM,rmse,lower,0.16096883389544622,,0.16096883389544622,,0.16101999477747939,0.9989859263009672,20
