scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,0.2310079602022763,0.0009007877846484657,0.2310079602022763,0.0009007877846484657,,,100
single,agentic-realmlp,RealMLP (agentic),rmse,lower,0.2357807474668503,0.002320222680576951,0.2357807474668503,0.002320222680576951,,,100
single,mlp,MLP,rmse,lower,0.24055852033434738,0.002507894047863685,0.24055852033434738,0.002507894047863685,,,100
single,agentic-mlp,MLP (agentic),rmse,lower,0.2390447455246329,0.0028521465734137907,0.2390447455246329,0.0028521465734137907,,,100
single,lightgbm,LightGBM,rmse,lower,0.24882110351599646,0.0015389296142432818,0.24882110351599646,0.0015389296142432818,,,100
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.25380819411828864,0.002083819330991661,0.25380819411828864,0.002083819330991661,,,100
single,tabm,TabM,rmse,lower,0.23646002498972002,0.0023501016597794293,0.23646002498972002,0.0023501016597794293,,,100
single,agentic-tabm,TabM (agentic),rmse,lower,0.23863432084681113,0.001744189185087966,0.23863432084681113,0.001744189185087966,,,100
single,tabicl,TabICL,rmse,lower,0.28046805536415614,0.004976001937774461,0.28046805536415614,0.004976001937774461,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,0.2496075776427155,0.0014471460999368143,0.2496075776427155,0.0014471460999368143,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,0.277750454082743,,0.277750454082743,,0.28119995627985156,0.8562120897571985,20
ensemble,agentic-mlp,MLP (agentic),rmse,lower,0.2475638265621194,,0.2475638265621194,,0.2475784181439379,0.9493458670445173,20
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,0.22669025399447748,,0.22669025399447748,,0.2286203010646179,0.9839221307731487,20
ensemble,agentic-tabm,TabM (agentic),rmse,lower,0.2420282151867212,,0.2420282151867212,,0.25490221459994933,0.9299683625842627,20
ensemble,lightgbm,LightGBM,rmse,lower,0.2509127809501177,,0.2509127809501177,,0.2501799203735154,0.9830645725710265,20
ensemble,mlp,MLP,rmse,lower,0.23853422792591036,,0.23853422792591036,,0.24321470906408424,0.9694207934759944,20
ensemble,realmlp,RealMLP,rmse,lower,0.23944967580034413,,0.23944967580034413,,0.23928276255153344,0.965680160095346,20
ensemble,tabm,TabM,rmse,lower,0.23388387904981853,,0.23388387904981853,,0.2332030996625502,0.9863355216663654,20
