scope,method,method_display,metric,metric_direction,score,score_std,error,error_std,best_model_error,selected_member_corr,budget
single,realmlp,RealMLP,rmse,lower,1.4363222202731074,0.0020044142185175547,1.4363222202731074,0.0020044142185175547,,,100
single,agentic-realmlp,RealMLP (agentic),rmse,lower,1.4388563058897126,0.0015923421789583235,1.4388563058897126,0.0015923421789583235,,,100
single,mlp,MLP,rmse,lower,1.52121138850946,0.0032136847351031082,1.52121138850946,0.0032136847351031082,,,100
single,agentic-mlp,MLP (agentic),rmse,lower,1.5135726623090562,0.0021202379984331505,1.5135726623090562,0.0021202379984331505,,,100
single,lightgbm,LightGBM,rmse,lower,1.4619079921998648,0.0008701609102855917,1.4619079921998648,0.0008701609102855917,,,100
single,agentic-lightgbm,LightGBM (agentic),rmse,lower,1.4656726283804007,0.000854256337754292,1.4656726283804007,0.000854256337754292,,,100
single,tabm,TabM,rmse,lower,1.4668551539423127,0.002455975521948756,1.4668551539423127,0.002455975521948756,,,100
single,agentic-tabm,TabM (agentic),rmse,lower,1.465404996587533,0.002132885838598716,1.465404996587533,0.002132885838598716,,,100
single,tabicl,TabICL,rmse,lower,1.5829080956930042,0.004499635803035393,1.5829080956930042,0.004499635803035393,,,grid
single,agentic-tabicl,TabICL (agentic),rmse,lower,1.5670206966441522,0.002408991567916706,1.5670206966441522,0.002408991567916706,,,grid
ensemble,agentic-lightgbm,LightGBM (agentic),rmse,lower,1.487110835858105,,1.487110835858105,,1.4964312789129537,0.9929390865671733,20
ensemble,agentic-mlp,MLP (agentic),rmse,lower,1.486268491569539,,1.486268491569539,,1.5259099276852808,0.9847073785013924,20
ensemble,agentic-realmlp,RealMLP (agentic),rmse,lower,1.4327892678427305,,1.4327892678427305,,1.4412290105703582,0.9926223372129371,20
ensemble,agentic-tabm,TabM (agentic),rmse,lower,1.4609634422598516,,1.4609634422598516,,1.4835756895473966,0.9909424062489014,20
ensemble,lightgbm,LightGBM,rmse,lower,1.4591856805778802,,1.4591856805778802,,1.4617834393798284,0.9939719882765845,20
ensemble,mlp,MLP,rmse,lower,1.4922551516320588,,1.4922551516320588,,1.5297709493427023,0.9898909044468136,20
ensemble,realmlp,RealMLP,rmse,lower,1.436065954884281,,1.436065954884281,,1.4470991359343026,0.9942619203606533,20
ensemble,tabm,TabM,rmse,lower,1.4777579283404938,,1.4777579283404938,,1.481789115525293,0.9967382949166907,20
